id_inmueble,area_m2,habitaciones,estrato,antiguedad_anios,distancia_centro_km,precio_millones
INM-00580,64.3,1,2,15,9.86,127.07
INM-00581,90.0,4,3,28,2.21,227.2
INM-00582,35.0,2,5,10,3.86,227.82
INM-00583,137.2,4,2,5,8.01,277.43
INM-00584,63.7,3,4,2,0.94,311.73
INM-00585,56.9,1,3,13,6.91,164.12
INM-00586,78.8,3,2,1,4.08,166.43
INM-00587,89.1,3,3,31,10.07,216.71
INM-00588,62.3,2,3,30,0.85,165.5
INM-00589,114.4,4,5,10,2.46,779.73
INM-00590,97.0,4,3,21,8.05,263.41
INM-00591,59.9,2,4,2,0.09,325.8
INM-00592,69.3,2,4,30,0.54,297.55
INM-00593,39.5,1,4,32,20.99,111.1
INM-00594,47.4,1,3,23,1.48,133.67
INM-00595,96.6,2,2,0,16.7,173.85
INM-00596,60.2,2,3,14,0.91,195.52
INM-00597,139.1,4,2,26,2.02,280.8
INM-00598,87.1,3,4,26,6.29,314.26
INM-00599,44.4,2,2,11,4.83,89.55
INM-00600,50.7,3,4,2,3.92,255.47
INM-00601,116.6,2,3,29,3.4,305.29
INM-00602,82.7,3,6,31,8.34,578.89
INM-00603,114.8,4,3,22,1.21,329.02
INM-00604,74.0,2,3,1,2.63,251.11
INM-00605,68.2,2,6,6,0.76,732.44
INM-00606,118.6,4,3,33,4.08,299.34
INM-00607,59.2,3,6,31,1.3,454.96
INM-00608,99.7,3,2,31,1.83,172.38
INM-00609,78.6,2,3,13,2.87,221.78
INM-00610,111.4,4,4,2,0.12,575.51
INM-00611,139.6,4,5,31,0.43,820.32
INM-00612,73.2,2,3,16,5.21,199.83
INM-00613,68.6,2,6,2,2.52,704.73
INM-00614,105.0,4,4,9,9.0,459.61
INM-00615,52.5,2,5,17,5.34,306.81
INM-00616,133.5,5,3,2,0.04,448.95
INM-00617,128.4,4,3,9,4.32,424.71
INM-00618,55.0,2,5,8,0.44,379.05
INM-00619,37.5,1,6,10,6.83,342.39
INM-00620,50.2,2,3,32,21.46,91.76
INM-00621,50.6,2,2,25,3.41,99.53
INM-00622,109.1,5,2,26,5.17,206.08
INM-00623,131.5,5,4,21,1.22,587.98
INM-00624,108.7,4,2,25,2.59,218.61
INM-00625,77.9,2,3,21,8.72,216.36
INM-00626,95.3,3,3,4,0.82,324.32
INM-00627,58.9,3,4,34,1.39,218.92
INM-00628,117.9,4,2,1,2.65,265.43
INM-00629,98.0,3,3,34,5.61,249.27
INM-00630,108.2,3,4,8,2.12,526.66
INM-00631,63.2,2,4,17,11.82,225.92
INM-00632,79.9,2,3,11,0.45,237.97
INM-00633,106.8,4,3,2,2.08,367.52
INM-00634,128.3,4,4,17,5.55,517.38
INM-00635,66.8,3,5,6,1.15,471.65
INM-00636,108.4,3,4,32,4.81,421.88
INM-00637,63.6,3,6,5,0.81,642.98
INM-00638,148.5,5,4,17,0.26,632.47
INM-00639,72.6,2,4,21,0.58,303.16
INM-00640,104.3,3,2,8,11.97,185.17
INM-00641,90.0,2,3,34,3.61,218.24
INM-00642,163.2,6,3,22,7.16,435.85
INM-00643,91.9,2,3,11,1.82,288.96
INM-00644,69.5,2,3,23,4.04,182.61
INM-00645,104.2,4,3,8,3.07,305.7
INM-00646,103.5,4,4,12,13.11,375.22
INM-00647,80.3,2,3,16,6.19,243.95
INM-00648,52.2,2,3,6,5.9,158.73
INM-00649,69.2,3,6,16,0.21,680.99
INM-00650,111.4,3,3,23,3.59,326.78
INM-00651,35.0,2,3,1,2.83,116.69
INM-00652,77.6,2,3,34,11.83,175.86
INM-00653,114.8,4,5,27,1.34,650.6
INM-00654,82.2,3,3,18,1.42,253.51
INM-00655,150.2,5,4,32,2.38,563.16
INM-00656,35.0,2,2,20,1.25,74.65
INM-00657,56.2,1,3,9,0.62,170.43
INM-00658,35.0,1,3,8,8.77,104.82
INM-00659,144.8,6,4,5,3.68,642.55
INM-00660,56.7,1,5,34,8.89,297.96
INM-00661,35.0,2,4,17,8.0,136.68
INM-00662,66.6,3,4,18,1.49,303.23
INM-00663,43.2,1,3,4,3.57,138.82
INM-00664,66.9,2,4,24,0.39,281.59
INM-00665,86.2,3,3,10,11.11,239.26
INM-00666,109.1,3,4,9,2.33,549.73
INM-00667,79.8,4,3,16,2.25,222.06
INM-00668,85.8,4,2,25,1.62,176.86
INM-00669,67.6,1,3,30,2.78,182.25
INM-00670,39.6,1,3,31,1.31,111.62
INM-00671,35.0,2,3,20,2.11,100.12
INM-00672,74.1,3,4,17,7.24,301.24
INM-00673,87.5,4,2,17,8.09,172.15
INM-00674,71.8,2,3,0,1.63,241.82
INM-00675,35.0,2,4,13,2.85,159.24
INM-00676,91.0,2,3,7,9.32,240.55
INM-00677,133.9,5,4,1,0.24,651.29
INM-00678,81.6,3,4,14,9.9,333.29
INM-00679,67.6,1,6,33,1.11,555.38
INM-00680,83.2,3,4,0,5.11,404.76
INM-00681,51.9,3,2,20,3.93,95.05
INM-00682,49.9,2,3,0,3.62,163.72
INM-00683,98.5,5,2,31,8.83,156.86
INM-00684,114.7,4,6,19,0.48,1035.93
INM-00685,80.6,2,2,29,1.92,158.6
INM-00686,35.0,2,3,6,3.48,116.14
INM-00687,95.6,3,3,21,7.5,236.44
INM-00688,147.0,5,5,9,1.1,1079.45
INM-00689,77.7,3,3,7,7.31,229.23
INM-00690,79.7,3,6,26,2.3,686.71
INM-00691,58.8,3,2,9,0.94,122.86
INM-00692,99.4,5,2,13,6.4,201.39
INM-00693,64.9,1,3,10,0.43,201.03
INM-00694,115.6,4,5,5,3.25,788.02
INM-00695,65.3,2,5,20,0.3,386.88
INM-00696,95.3,3,2,32,1.98,162.62
INM-00697,83.6,3,2,18,4.14,153.74
INM-00698,131.7,5,4,23,3.65,520.51
INM-00699,97.3,4,2,17,2.33,185.83
INM-00700,126.6,4,2,34,2.52,229.61
INM-00701,88.3,3,2,18,1.16,168.28
INM-00702,79.9,3,2,23,2.74,157.18
INM-00703,83.9,4,3,33,13.78,168.84
INM-00704,61.9,3,2,21,8.55,118.34
INM-00705,101.0,4,3,3,0.71,366.12
INM-00706,64.3,1,5,9,0.14,431.12
INM-00707,88.4,3,3,1,12.2,255.61
INM-00708,110.7,4,4,7,3.37,480.51
INM-00709,132.5,4,2,32,3.47,250.08
INM-00710,89.9,3,4,27,6.83,341.54
INM-00711,110.8,4,3,9,1.7,328.22
INM-00712,107.3,4,4,0,2.96,519.75
INM-00713,73.5,2,2,33,15.58,96.91
INM-00714,148.2,6,5,2,5.02,996.06
INM-00715,67.7,2,3,8,0.75,227.18
INM-00716,87.7,2,3,4,0.64,294.07
INM-00717,128.6,4,6,9,1.03,1222.51
INM-00718,127.9,4,4,11,6.55,519.83
INM-00719,85.4,1,3,17,1.58,246.6
INM-00720,114.7,4,6,20,0.1,968.02
INM-00721,78.3,4,3,20,12.98,199.13
INM-00722,70.3,3,2,0,0.84,156.87
INM-00723,48.6,1,6,2,0.04,510.53
INM-00724,106.7,3,3,4,1.22,347.38
INM-00725,109.9,2,5,24,1.21,643.81
INM-00726,68.0,1,2,7,2.47,152.79
INM-00727,93.0,3,4,16,11.39,353.62
INM-00728,164.5,6,3,8,9.51,458.53
INM-00729,119.4,2,6,31,2.75,955.14
INM-00730,58.0,2,4,5,2.38,280.26
INM-00731,115.0,3,2,20,3.64,217.34
INM-00732,58.1,2,4,6,1.26,286.64
INM-00733,35.0,1,2,6,0.24,82.36
INM-00734,84.4,2,4,26,12.6,269.1
INM-00735,131.9,4,5,7,0.93,922.59
INM-00736,126.9,4,3,8,1.0,383.76
INM-00737,96.3,4,4,27,2.88,369.08
INM-00738,68.7,1,2,14,3.04,143.31
INM-00739,99.6,4,3,1,0.08,366.0
INM-00740,76.9,3,3,6,0.72,270.68
INM-00741,69.6,3,4,17,2.14,287.38
INM-00742,116.9,4,2,21,5.18,217.87
INM-00743,69.2,3,4,9,1.17,335.65
INM-00744,118.8,4,2,32,2.47,201.02
INM-00745,67.2,3,4,6,3.67,329.77
INM-00746,146.8,5,2,2,9.88,307.47
INM-00747,35.8,1,5,13,1.78,252.88
INM-00748,56.3,1,2,12,0.65,112.92
INM-00749,80.3,3,3,15,3.02,229.26
INM-00750,35.0,1,3,15,6.18,104.68
INM-00751,35.0,2,4,4,0.52,180.31
INM-00752,35.0,2,3,24,2.49,104.3
INM-00753,76.2,2,4,25,0.08,303.37
INM-00754,77.0,3,3,12,0.15,250.13
INM-00755,95.0,3,4,25,2.97,393.7
INM-00756,79.1,3,2,0,1.59,171.55
INM-00757,94.0,4,3,7,8.39,274.09
INM-00758,71.5,3,3,3,4.15,233.77
INM-00759,106.4,3,2,20,2.72,200.24
INM-00760,102.8,5,2,21,2.36,195.64
INM-00761,75.2,3,6,2,3.09,759.13
INM-00762,101.0,4,6,18,0.19,919.55
INM-00763,79.3,3,4,0,10.05,370.26
INM-00764,39.3,2,3,28,25.0,67.38
INM-00765,112.1,4,3,22,0.9,315.22
INM-00766,57.8,2,4,32,0.58,249.14
INM-00767,111.8,4,2,22,0.7,239.39
INM-00768,94.7,3,6,4,4.87,828.39
INM-00769,82.5,3,3,6,4.87,267.52
INM-00770,35.0,1,6,5,8.48,290.23
INM-00771,131.2,5,3,21,6.27,328.03
INM-00772,74.1,3,4,12,2.69,326.45
INM-00773,104.0,3,2,11,4.27,207.67
INM-00774,81.6,3,5,3,5.25,580.17
INM-00775,76.9,2,3,7,3.24,251.73
INM-00776,90.8,3,4,30,2.91,384.21
INM-00777,85.8,3,5,25,4.66,510.49
INM-00778,77.0,2,2,7,3.67,163.9
INM-00779,83.3,3,3,32,4.65,217.16
INM-00780,97.8,4,3,28,4.27,278.17
INM-00781,99.9,2,3,4,5.72,321.15
INM-00782,86.3,3,3,27,4.63,237.49
INM-00783,103.6,4,3,16,3.3,327.52
INM-00784,72.3,3,3,22,5.15,185.33
INM-00785,151.7,6,4,8,2.69,738.03
INM-00786,129.6,6,4,1,1.24,693.62
INM-00787,107.9,5,3,31,0.01,317.15
INM-00788,35.0,1,5,30,3.69,186.84
INM-00789,103.2,2,5,6,4.02,697.22
INM-00790,74.9,3,3,29,16.1,163.05
INM-00791,55.6,1,3,2,2.02,178.54
INM-00792,74.1,1,3,8,2.25,240.37
INM-00793,59.0,2,4,9,1.01,272.14
INM-00794,100.2,4,4,25,0.33,416.33
INM-00795,133.5,6,2,0,6.67,285.65
INM-00796,109.8,4,4,29,1.29,448.33
INM-00797,167.9,6,3,14,4.22,492.49
INM-00798,38.4,2,2,24,5.24,70.57
INM-00799,69.8,2,4,5,2.87,324.38
INM-00800,56.7,2,4,17,9.41,210.92
INM-00801,121.9,5,3,0,2.64,380.08
INM-00802,78.4,3,3,2,1.51,251.57
INM-00803,90.7,4,6,16,10.19,725.82
INM-00804,104.0,3,4,7,8.9,466.04
INM-00805,41.4,2,4,16,0.81,178.85
INM-00806,66.4,2,2,24,0.12,124.06
INM-00807,114.9,5,2,11,0.42,263.01
INM-00808,68.6,3,3,28,1.52,182.76
INM-00809,35.0,1,3,24,16.13,82.84
INM-00810,57.9,3,4,24,3.68,244.79
INM-00811,76.4,2,3,28,2.1,202.45
INM-00812,90.0,3,3,10,9.88,241.13
INM-00813,82.9,3,3,3,2.72,273.5
INM-00814,66.6,3,3,13,1.7,192.58
INM-00815,113.2,4,6,16,12.75,801.4
INM-00816,81.1,2,4,1,8.52,346.31
INM-00817,91.3,3,2,7,8.35,190.3
INM-00818,68.2,3,4,9,3.23,316.9
INM-00819,130.3,5,4,6,7.01,535.36
INM-00820,73.3,2,4,15,0.89,345.93
INM-00821,87.2,2,2,13,3.83,177.12
INM-00822,116.0,3,3,15,18.57,262.61
INM-00823,93.4,3,2,24,1.55,173.83
INM-00824,92.7,2,5,3,7.12,612.99
INM-00825,35.0,1,4,28,3.03,150.39
INM-00826,105.4,3,3,5,0.18,330.8
INM-00827,86.7,2,3,0,6.48,264.48
INM-00828,101.2,3,2,0,0.83,229.99
INM-00829,90.5,2,2,2,4.49,191.7
INM-00830,68.2,3,6,0,0.4,697.99
INM-00831,111.8,3,2,0,13.21,226.1
INM-00832,90.9,3,2,20,1.55,195.36
INM-00833,46.3,1,6,29,1.16,362.58
INM-00834,124.3,4,3,31,0.62,339.8
INM-00835,42.1,2,4,32,13.13,139.41
INM-00836,112.0,5,2,21,5.6,210.76
INM-00837,129.6,5,4,29,6.09,482.9
INM-00838,51.8,3,3,3,3.11,160.87
INM-00839,81.3,3,4,22,2.9,341.45
INM-00840,78.5,3,2,24,0.52,153.07
INM-00841,79.9,2,3,11,3.69,255.36
INM-00842,139.9,4,4,16,1.28,660.32
INM-00843,52.2,2,3,14,17.0,115.58
INM-00844,75.8,2,4,9,7.17,307.91
INM-00845,130.1,4,2,34,2.4,244.34
INM-00846,75.3,2,2,28,0.74,144.5
INM-00847,56.9,1,4,11,6.92,258.76
INM-00848,92.9,2,4,0,0.59,444.96
INM-00849,109.2,5,6,0,0.94,1135.23
INM-00850,73.2,1,4,9,1.07,353.15
INM-00851,101.6,3,3,17,3.66,313.17
INM-00852,43.7,2,5,1,6.96,272.71
INM-00853,45.4,2,2,7,1.7,96.79
INM-00854,71.8,2,3,21,0.4,209.89
INM-00855,102.7,3,3,21,2.81,310.88
INM-00856,107.8,4,2,25,6.2,207.19
INM-00857,49.5,1,4,25,1.13,225.21
INM-00858,106.7,4,3,8,1.12,372.08
INM-00859,90.0,3,4,20,13.24,297.05
INM-00860,58.6,3,3,30,13.87,119.03
INM-00861,45.0,1,3,5,20.94,98.37
INM-00862,91.9,3,2,13,7.42,173.87
INM-00863,123.7,4,4,32,0.94,518.09
INM-00864,86.1,3,3,6,1.07,301.91
INM-00865,57.0,1,5,23,1.87,331.14
INM-00866,35.0,1,2,8,1.72,78.73
INM-00867,130.9,5,3,10,14.11,358.33
INM-00868,116.3,4,4,22,7.0,455.25
INM-00869,94.1,2,5,1,5.79,599.35
INM-00870,129.3,5,3,14,0.93,399.79
INM-00871,91.7,2,4,34,10.81,298.38
INM-00872,69.1,2,6,27,7.92,524.96
INM-00873,101.7,4,6,3,0.8,1022.74
INM-00874,60.1,3,4,9,9.22,232.85
INM-00875,55.1,1,4,5,1.43,291.95
INM-00876,108.1,4,3,29,0.38,301.91
INM-00877,110.7,4,5,34,4.81,584.53
INM-00878,46.8,1,3,9,4.77,152.86
INM-00879,47.9,2,6,31,0.45,369.61
INM-00880,71.6,1,2,2,1.73,156.83
INM-00881,63.7,1,3,25,22.21,128.7
INM-00882,99.3,4,4,14,5.11,413.6
INM-00883,86.4,3,3,16,5.89,256.53
INM-00884,119.9,4,3,26,1.08,325.37
INM-00885,94.5,3,4,17,0.37,398.37
INM-00886,65.7,2,4,18,1.46,292.85
INM-00887,35.0,1,4,11,1.29,156.74
INM-00888,90.4,3,3,23,1.2,271.44
INM-00889,35.0,1,4,4,0.96,178.3
INM-00890,65.3,3,3,23,3.85,192.93
INM-00891,63.3,2,2,26,1.79,126.41
INM-00892,69.7,2,4,29,7.73,242.33
INM-00893,45.5,1,5,14,0.91,318.19
INM-00894,63.2,2,3,33,2.81,166.63
INM-00895,119.4,4,3,26,0.06,350.77
INM-00896,119.3,3,3,19,2.96,364.33
INM-00897,131.0,4,3,31,0.26,361.83
INM-00898,85.3,2,2,3,17.12,148.14
INM-00899,93.1,4,6,4,7.04,868.42
INM-00900,119.8,4,5,7,3.03,789.27
INM-00901,40.9,2,4,21,0.41,171.14
INM-00902,109.2,3,3,6,4.04,350.38
INM-00903,124.1,4,4,21,6.4,476.42
INM-00904,58.3,2,3,29,0.95,149.54
INM-00905,126.5,5,3,15,3.78,343.92
INM-00906,146.7,5,2,14,7.57,286.39
INM-00907,108.3,3,4,4,6.58,482.48
INM-00908,102.8,3,6,2,7.31,985.84
INM-00909,51.4,1,2,22,9.52,87.67
INM-00910,117.1,5,2,9,12.49,213.52
INM-00911,54.2,1,3,4,2.34,175.27
INM-00912,96.1,3,5,22,3.79,588.95
INM-00913,99.1,4,3,14,7.04,273.38
INM-00914,35.0,2,3,17,5.38,106.58
INM-00915,97.2,4,4,24,24.34,285.62
INM-00916,163.6,6,3,7,0.06,574.35
INM-00917,35.0,1,2,30,1.97,68.73
INM-00918,83.4,2,2,20,1.48,166.95
INM-00919,35.0,2,4,1,1.37,178.04
INM-00920,58.2,2,3,21,1.13,177.43
INM-00921,35.0,1,6,7,5.56,330.4
INM-00922,89.8,4,4,22,0.4,417.22
INM-00923,108.8,5,2,31,6.09,192.21
INM-00924,97.3,3,3,7,5.32,321.76
INM-00925,57.1,2,3,3,1.3,187.19
INM-00926,66.7,3,2,29,1.31,131.74
INM-00927,93.2,3,6,18,4.46,823.31
INM-00928,58.0,4,5,22,6.46,342.53
INM-00929,45.1,2,3,17,9.41,116.11
INM-00930,77.8,3,3,28,8.6,199.4
INM-00931,56.7,2,2,22,15.07,94.81
INM-00932,97.3,4,3,32,3.92,237.53
INM-00933,124.0,3,4,17,10.77,485.86
INM-00934,162.9,6,3,32,7.44,386.28
INM-00935,95.1,4,6,6,10.13,874.8
INM-00936,104.4,5,2,27,0.05,202.36
INM-00937,67.0,2,4,0,15.2,257.27
INM-00938,68.9,2,5,33,2.89,372.97
INM-00939,123.5,4,3,18,7.2,345.28
INM-00940,76.7,3,2,30,0.61,134.32
INM-00941,87.2,3,3,12,2.27,274.52
INM-00942,121.7,4,3,23,1.43,373.83
INM-00943,76.9,3,6,4,1.55,809.57
INM-00944,130.0,4,5,22,0.59,761.0
INM-00945,102.2,4,6,18,7.37,900.06
INM-00946,98.7,3,5,0,0.04,763.33
INM-00947,65.6,1,3,32,1.69,164.27
INM-00948,100.3,3,5,32,0.86,531.26
INM-00949,72.1,3,6,31,4.0,527.9
INM-00950,99.1,3,3,27,1.32,290.64
INM-00951,81.9,3,3,11,1.35,239.38
INM-00952,114.0,4,3,8,3.02,344.24
INM-00953,84.0,3,2,10,4.76,181.27
INM-00954,146.1,6,2,32,0.58,273.45
INM-00955,76.7,2,6,18,0.87,726.12
INM-00956,69.0,2,6,33,1.28,567.96
INM-00957,95.4,3,2,6,16.38,153.55
INM-00958,117.3,6,3,30,2.28,332.91
INM-00959,117.1,4,5,1,4.11,782.6
INM-00960,90.0,3,4,18,1.24,404.85
INM-00961,95.2,3,3,31,3.03,254.79
INM-00962,95.2,3,4,9,0.35,436.95
INM-00963,52.7,2,5,7,0.16,403.55
INM-00964,115.7,4,6,25,2.85,957.59
INM-00965,47.3,2,3,29,2.29,118.39
INM-00966,52.7,2,2,10,0.66,124.61
INM-00967,86.7,2,5,19,5.24,526.62
INM-00968,75.4,3,2,19,22.27,107.81
INM-00969,108.9,5,4,8,2.27,518.45
INM-00970,98.4,3,2,7,4.41,220.96
INM-00971,89.1,3,3,14,14.83,202.38
INM-00972,51.2,1,3,33,8.01,116.75
INM-00973,85.8,2,2,23,2.8,164.71
INM-00974,83.4,4,6,32,6.02,576.3
INM-00975,91.7,4,2,26,0.62,184.23
INM-00976,72.1,3,5,20,3.23,434.98
INM-00977,100.7,2,5,4,1.47,691.8
INM-00978,74.6,2,3,34,0.79,180.98
INM-00979,97.9,4,4,20,2.5,436.21
INM-00980,108.9,3,3,3,0.63,389.36
INM-00981,69.0,2,4,15,5.4,290.16
INM-00982,61.8,3,4,30,2.74,245.94
INM-00983,99.3,2,3,25,3.41,260.21
INM-00984,45.4,1,3,34,0.71,122.13
INM-00985,118.3,3,4,5,0.68,541.71
INM-00986,85.3,3,5,32,3.94,466.26
INM-00987,81.6,2,2,20,18.9,123.46
INM-00988,101.4,4,4,15,0.46,500.02
INM-00989,99.5,3,3,33,1.51,256.77
INM-00990,85.2,4,5,14,9.16,518.28
INM-00991,111.4,3,2,5,0.34,260.7
INM-00992,64.8,2,4,1,9.39,307.11
INM-00993,106.4,3,2,23,3.34,200.2
INM-00994,52.6,2,4,27,2.36,207.78
INM-00995,100.3,3,5,0,1.67,778.84
INM-00996,75.2,2,4,0,1.59,354.18
INM-00997,45.7,1,4,27,1.64,177.05
INM-00998,92.7,3,3,19,9.73,224.19
INM-00999,84.0,2,5,7,5.79,577.13
INM-01000,38.7,2,4,0,4.99,171.6
INM-01001,35.0,1,5,25,7.21,204.32
INM-01002,80.4,4,3,24,1.34,227.63
INM-01003,133.5,5,3,9,4.33,376.89
INM-01004,94.6,3,3,11,2.77,288.3
INM-01005,65.0,4,3,6,6.86,185.72
INM-01006,117.5,4,2,11,1.66,258.86
INM-01007,112.2,4,5,16,4.64,715.19
INM-01008,123.1,4,4,4,9.62,531.35
INM-01009,105.5,4,6,13,2.31,900.59
INM-01010,111.6,5,2,33,0.31,210.13
INM-01011,106.9,4,3,16,3.27,333.24
INM-01012,70.7,3,5,34,1.91,406.31
INM-01013,35.9,1,3,0,5.02,122.32
INM-01014,69.4,2,3,14,13.57,166.14
INM-01015,118.1,5,5,18,2.99,785.43
INM-01016,73.6,3,3,4,2.82,232.97
INM-01017,80.6,3,2,18,4.78,144.73
INM-01018,50.0,1,5,4,0.49,381.7
INM-01019,68.5,3,2,11,1.32,159.25
INM-01020,84.7,2,5,18,11.31,472.49
INM-01021,99.8,3,2,11,4.99,195.74
INM-01022,71.2,2,4,11,0.06,327.86
INM-01023,69.1,1,2,17,1.03,143.08
INM-01024,110.3,4,4,33,5.17,432.76
INM-01025,94.8,3,2,32,6.51,150.38
INM-01026,98.5,3,5,17,8.24,600.14
INM-01027,130.8,4,3,28,1.56,347.46
INM-01028,69.8,2,2,4,12.03,140.04
INM-01029,83.5,2,4,24,3.62,364.61
INM-01030,101.5,4,3,23,5.37,270.87
INM-01031,58.9,2,2,28,4.09,104.38
INM-01032,91.9,3,2,32,0.59,177.84
INM-01033,85.7,3,3,9,14.85,219.48
INM-01034,168.3,5,2,32,0.59,319.84
INM-01035,88.0,3,2,22,1.32,178.58
INM-01036,119.7,5,3,10,7.56,326.26
INM-01037,109.9,3,4,23,4.34,472.99
INM-01038,50.3,2,3,23,8.19,123.25
INM-01039,38.5,2,2,6,3.26,90.01
INM-01040,92.4,2,6,20,2.13,775.48
INM-01041,122.7,5,5,19,11.47,685.31
INM-01042,93.6,5,3,9,0.17,295.63
INM-01043,87.4,3,2,24,8.72,147.27
INM-01044,76.5,2,6,14,1.18,690.07
INM-01045,45.3,1,3,5,8.5,138.79
INM-01046,56.2,2,3,1,0.67,195.12
INM-01047,36.3,2,3,11,3.91,117.15
INM-01048,51.9,1,4,3,9.86,218.2
INM-01049,69.2,2,2,22,2.89,138.54
INM-01050,108.3,4,4,12,6.18,486.98
INM-01051,71.6,2,4,16,7.35,277.77
INM-01052,92.7,2,3,30,6.0,229.54
INM-01053,89.1,4,5,15,11.68,491.94
INM-01054,100.0,3,2,25,2.66,185.71
INM-01055,54.0,2,4,27,0.86,218.39
INM-01056,116.8,4,3,0,0.22,419.6
INM-01057,42.8,1,3,11,1.27,129.47
INM-01058,71.6,3,3,19,0.7,222.19
INM-01059,84.4,3,3,1,3.67,296.48
INM-01060,107.8,3,2,14,0.92,232.55
INM-01061,126.4,4,3,21,0.18,383.06
INM-01062,108.0,4,3,31,0.16,274.9
INM-01063,127.5,3,4,19,8.02,535.16
INM-01064,60.1,1,2,32,4.03,101.55
INM-01065,120.7,4,4,14,1.99,559.34
INM-01066,115.6,3,3,2,10.11,364.38
INM-01067,35.0,1,2,28,0.33,68.23
INM-01068,78.4,3,3,26,17.68,170.86
INM-01069,103.1,3,3,4,4.31,325.2
INM-01070,69.5,4,4,30,0.91,261.8
INM-01071,52.4,1,3,21,5.11,151.33
INM-01072,148.4,3,6,34,6.49,992.02
INM-01073,88.3,4,6,6,2.52,882.07
INM-01074,89.2,2,3,5,8.9,241.13
INM-01075,45.7,1,4,25,0.74,205.12
INM-01076,66.6,3,2,0,1.47,147.75
INM-01077,58.1,2,3,18,0.44,176.96
INM-01078,117.4,5,4,6,1.07,584.4
INM-01079,100.1,3,3,11,1.23,315.25
INM-01080,67.9,3,2,19,11.23,114.49
INM-01081,101.8,3,2,22,0.37,204.49
INM-01082,77.4,2,3,24,2.51,210.36
INM-01083,92.0,4,3,29,3.42,241.06
INM-01084,91.9,4,3,28,10.3,213.72
INM-01085,97.6,3,3,30,25.0,170.45
INM-01086,94.0,3,3,17,6.3,251.45
INM-01087,97.6,4,4,18,15.9,364.19
INM-01088,122.7,3,2,3,6.96,258.23
INM-01089,104.2,3,4,0,14.86,400.46
INM-01090,74.9,3,4,14,5.53,320.99
INM-01091,82.1,4,4,7,0.37,427.42
INM-01092,121.9,4,4,14,2.31,509.72
INM-01093,88.4,4,3,14,4.68,266.94
INM-01094,73.8,2,3,21,1.94,215.56
INM-01095,66.1,2,3,17,1.44,188.87
INM-01096,93.2,3,6,15,3.88,866.77
INM-01097,59.4,3,4,1,12.2,245.33
INM-01098,123.5,5,2,19,0.16,247.9
INM-01099,53.9,3,2,15,6.6,109.79
INM-01100,129.3,4,6,2,5.77,1249.89
INM-01101,76.4,3,2,29,14.95,120.59
INM-01102,52.7,2,2,1,12.01,105.11
INM-01103,90.7,3,3,34,6.46,226.87
INM-01104,56.4,2,6,25,3.31,489.3
INM-01105,86.0,4,3,4,1.03,267.53
INM-01106,67.7,2,3,1,3.55,232.6
INM-01107,113.4,3,4,19,6.52,469.64
INM-01108,89.1,2,2,33,10.17,129.76
INM-01109,49.3,1,5,33,7.02,254.75
INM-01110,67.1,3,3,19,0.98,187.22
INM-01111,106.1,3,3,24,4.12,300.81
INM-01112,123.6,4,5,19,1.82,787.58
INM-01113,83.6,3,6,24,0.04,782.86
INM-01114,53.7,2,3,13,1.01,159.73
INM-01115,116.6,4,2,11,0.54,260.55
INM-01116,106.0,4,5,4,8.32,645.09
INM-01117,124.2,4,3,1,1.35,430.63
INM-01118,93.7,2,6,15,1.51,891.26
INM-01119,69.4,3,6,29,14.48,470.8
INM-01120,100.5,3,2,23,2.14,205.75
INM-01121,94.8,3,6,29,0.04,837.71
INM-01122,67.8,2,3,10,1.5,201.13
INM-01123,91.0,3,4,13,0.57,415.77
INM-01124,79.1,2,2,22,0.49,164.2
INM-01125,107.3,4,5,15,0.36,716.2
INM-01126,99.8,4,4,20,4.05,398.45
INM-01127,53.5,1,4,3,0.94,270.78
INM-01128,50.4,1,5,32,2.02,280.23
INM-01129,82.3,2,3,13,8.91,222.85
INM-01130,86.0,3,3,18,2.49,265.8
INM-01131,107.8,4,5,4,11.13,644.98
INM-01132,100.4,3,4,30,3.1,363.47
INM-01133,128.8,3,6,17,2.29,1069.18
INM-01134,71.0,1,6,30,6.25,564.15
INM-01135,69.3,2,3,29,0.34,206.5
INM-01136,56.2,3,3,20,0.42,173.16
INM-01137,107.5,4,3,29,4.75,272.46
INM-01138,85.7,3,4,3,3.0,445.89
INM-01139,35.0,2,3,4,7.03,109.29
INM-01140,91.1,2,4,9,11.16,389.93
INM-01141,93.0,3,2,26,2.21,184.03
INM-01142,80.7,1,2,15,4.08,159.59
INM-01143,93.9,3,3,29,3.13,248.79
INM-01144,48.4,2,2,12,17.98,73.8
INM-01145,134.2,5,4,20,8.0,510.55
INM-01146,96.4,4,2,14,10.92,182.27
INM-01147,35.0,2,2,19,1.32,75.89
INM-01148,84.8,2,2,19,6.66,164.53
INM-01149,97.2,4,4,4,1.39,478.36
INM-01150,51.6,2,5,31,1.05,278.52
INM-01151,101.0,2,2,5,12.99,174.99
INM-01152,135.4,4,4,29,0.09,549.13
INM-01153,65.7,3,3,25,15.14,145.78
INM-01154,97.9,3,3,12,0.73,315.85
INM-01155,91.3,4,4,28,7.7,310.96
INM-01156,114.0,3,2,4,1.45,280.54
INM-01157,81.7,2,4,24,1.94,335.71
INM-01158,53.0,1,2,12,1.1,120.97
INM-01159,112.1,3,6,23,3.96,934.08
INM-01160,54.8,1,2,30,1.93,94.93
