id_cliente,edad,ingreso_mensual,antiguedad_laboral_meses,score_credito,ratio_deuda_ingreso,riesgo_default
CLI-00556,55,2709250.83,83,360,0.091,1
CLI-00557,61,4631059.43,51,447,0.534,1
CLI-00558,50,2792368.25,146,783,0.56,1
CLI-00559,37,8200852.13,8,420,0.083,0
CLI-00560,40,1971922.3,11,713,0.7,0
CLI-00561,45,5143852.95,98,407,0.114,0
CLI-00562,42,2877161.25,13,639,0.25,1
CLI-00563,33,3562606.25,177,600,0.521,1
CLI-00564,39,5016368.1,113,625,0.169,1
CLI-00565,56,6404251.99,166,399,0.089,1
CLI-00566,32,7122113.81,80,707,0.282,0
CLI-00567,61,1433493.67,82,565,0.586,1
CLI-00568,39,4681952.2,55,743,0.34,0
CLI-00569,32,6827088.49,16,765,0.507,0
CLI-00570,29,1300000.0,100,401,0.456,1
CLI-00571,27,4765890.29,161,620,0.066,0
CLI-00572,48,4196249.16,75,834,0.742,0
CLI-00573,34,4946175.27,174,433,0.079,1
CLI-00574,51,2809852.75,21,736,0.727,0
CLI-00575,39,1615886.11,73,642,0.435,0
CLI-00576,67,1300000.0,104,475,0.724,0
CLI-00577,36,5957491.12,53,645,0.13,0
CLI-00578,25,6187288.45,69,421,0.393,0
CLI-00579,55,4744833.63,95,645,0.169,0
CLI-00580,32,3238532.97,81,585,0.086,1
CLI-00581,45,1300000.0,144,405,0.482,1
CLI-00582,41,5214021.83,106,756,0.195,0
CLI-00583,56,2218597.29,94,709,0.461,0
CLI-00584,43,2919662.48,23,744,0.129,0
CLI-00585,36,3144184.66,24,459,0.282,1
CLI-00586,59,3844436.59,60,541,0.597,1
CLI-00587,65,2833727.2,107,741,0.356,1
CLI-00588,62,4260225.79,123,442,0.489,1
CLI-00589,59,3080727.06,159,699,0.503,1
CLI-00590,34,5462471.52,139,405,0.641,1
CLI-00591,51,6055913.25,9,409,0.277,1
CLI-00592,25,4395376.82,113,487,0.531,1
CLI-00593,55,5032727.4,120,388,0.723,1
CLI-00594,43,8012140.71,34,377,0.561,1
CLI-00595,49,2089314.14,64,398,0.393,0
CLI-00596,63,1979757.42,130,769,0.492,0
CLI-00597,31,5450996.22,103,474,0.568,1
CLI-00598,38,7703777.11,22,362,0.479,1
CLI-00599,67,3731102.59,112,829,0.062,0
CLI-00600,32,7308300.92,48,385,0.186,1
CLI-00601,29,4373580.69,85,450,0.617,1
CLI-00602,30,2974402.89,167,631,0.241,1
CLI-00603,64,2416753.7,13,435,0.562,1
CLI-00604,37,5332944.45,146,353,0.31,1
CLI-00605,58,2553073.68,111,572,0.415,1
CLI-00606,27,4346298.32,13,687,0.098,0
CLI-00607,66,7050237.05,101,797,0.177,0
CLI-00608,33,3647795.29,99,515,0.72,1
CLI-00609,60,6565217.05,70,732,0.673,0
CLI-00610,62,2013821.72,176,693,0.507,0
CLI-00611,29,3238963.62,44,732,0.372,1
CLI-00612,47,1667140.75,86,725,0.523,0
CLI-00613,22,4331394.16,89,820,0.483,0
CLI-00614,25,5604140.72,93,627,0.448,1
CLI-00615,49,4335336.76,91,479,0.091,0
CLI-00616,57,6408690.11,98,380,0.493,0
CLI-00617,58,2851477.37,91,724,0.588,1
CLI-00618,39,4605616.96,49,360,0.746,1
CLI-00619,28,3250555.22,142,825,0.058,0
CLI-00620,65,4851017.85,170,651,0.561,0
CLI-00621,21,5106724.88,79,445,0.45,1
CLI-00622,42,5248312.73,41,539,0.354,1
CLI-00623,37,2272930.19,106,802,0.139,0
CLI-00624,27,2598457.02,161,541,0.336,1
CLI-00625,45,2932282.13,175,835,0.298,0
CLI-00626,65,3770014.65,176,615,0.262,1
CLI-00627,24,4356935.53,175,773,0.562,1
CLI-00628,56,5474560.42,109,477,0.541,0
CLI-00629,26,2673422.34,71,587,0.462,1
CLI-00630,51,1318165.26,60,757,0.707,1
CLI-00631,39,8080337.69,96,704,0.295,0
CLI-00632,64,2163384.56,27,777,0.221,0
CLI-00633,59,5705382.7,106,461,0.509,1
CLI-00634,47,4256280.38,160,665,0.189,0
CLI-00635,30,4652350.15,126,795,0.271,1
CLI-00636,46,4197209.09,98,692,0.207,0
CLI-00637,39,3507284.61,113,494,0.098,0
CLI-00638,59,5035150.11,146,414,0.629,1
CLI-00639,23,3410543.03,178,596,0.228,1
CLI-00640,65,6299344.95,15,572,0.381,0
CLI-00641,33,5223193.81,14,828,0.08,1
CLI-00642,48,5279269.4,160,839,0.54,0
CLI-00643,40,3287178.49,39,662,0.281,1
CLI-00644,48,3774561.47,134,788,0.571,0
CLI-00645,28,2061756.94,165,455,0.339,1
CLI-00646,61,3564571.1,94,530,0.187,0
CLI-00647,59,2334163.35,98,533,0.409,1
CLI-00648,21,6563523.33,76,575,0.141,0
CLI-00649,23,4290964.47,72,614,0.358,0
CLI-00650,33,4506895.02,153,627,0.272,0
CLI-00651,48,3794736.25,122,746,0.688,1
CLI-00652,45,4555642.06,99,438,0.093,1
CLI-00653,53,8636779.74,168,525,0.536,1
CLI-00654,58,3659747.49,104,367,0.178,1
CLI-00655,26,3029256.54,118,720,0.273,0
CLI-00656,64,5153447.64,108,809,0.341,0
CLI-00657,65,1300000.0,96,773,0.686,1
CLI-00658,52,4315122.22,95,750,0.22,0
CLI-00659,65,3530916.77,22,748,0.114,0
CLI-00660,67,2413836.12,23,455,0.273,1
CLI-00661,41,5113963.81,178,620,0.123,0
CLI-00662,36,4297179.15,121,812,0.14,0
CLI-00663,41,1300000.0,98,668,0.452,0
CLI-00664,31,3036246.86,96,516,0.093,1
CLI-00665,57,1300000.0,87,362,0.072,1
CLI-00666,56,4727884.77,73,686,0.55,1
CLI-00667,55,4709938.95,119,381,0.303,1
CLI-00668,39,2772092.59,6,742,0.138,0
CLI-00669,40,5172202.88,63,389,0.228,1
CLI-00670,38,1891502.48,159,497,0.499,1
CLI-00671,67,2460269.35,114,567,0.243,1
CLI-00672,61,4950942.84,153,568,0.396,0
CLI-00673,34,2960399.84,121,818,0.135,0
CLI-00674,35,4087217.48,92,431,0.462,1
CLI-00675,51,3185431.75,15,682,0.271,0
CLI-00676,21,3460323.92,64,557,0.489,0
CLI-00677,23,3538996.41,46,550,0.616,1
CLI-00678,36,2927837.84,110,796,0.478,0
CLI-00679,43,4744409.49,138,681,0.257,0
CLI-00680,31,3069728.72,127,777,0.229,0
CLI-00681,32,4228236.08,150,387,0.279,1
CLI-00682,30,2888282.97,27,560,0.165,1
CLI-00683,52,1438262.47,103,793,0.177,0
CLI-00684,36,5842383.45,174,676,0.603,0
CLI-00685,28,5099148.57,73,598,0.319,0
CLI-00686,58,8319627.72,144,576,0.355,0
CLI-00687,32,2320848.89,61,397,0.466,1
CLI-00688,44,3823871.12,154,367,0.463,1
CLI-00689,48,3968686.53,104,749,0.097,0
CLI-00690,28,5980864.99,81,788,0.632,1
CLI-00691,48,3287205.79,31,644,0.174,0
CLI-00692,56,2092124.66,120,545,0.556,1
CLI-00693,46,6374056.76,152,536,0.591,1
CLI-00694,28,3630029.95,114,694,0.55,1
CLI-00695,48,5781558.32,52,573,0.455,1
CLI-00696,48,5571957.12,76,667,0.06,0
CLI-00697,57,4146197.15,159,837,0.302,0
CLI-00698,61,3886235.33,45,746,0.473,0
CLI-00699,56,3495183.35,138,714,0.321,1
CLI-00700,47,4172652.37,154,686,0.654,1
CLI-00701,37,5753580.41,137,846,0.266,0
CLI-00702,29,2766407.67,28,578,0.255,1
CLI-00703,53,4395922.13,111,739,0.236,0
CLI-00704,40,2186463.43,89,816,0.283,0
CLI-00705,33,2410608.78,148,426,0.44,1
CLI-00706,48,4144309.81,121,537,0.545,0
CLI-00707,49,1300000.0,114,695,0.514,1
CLI-00708,33,7909005.51,141,619,0.615,0
CLI-00709,66,2052492.08,46,444,0.67,1
CLI-00710,55,4127840.68,117,659,0.621,0
CLI-00711,26,6302791.9,152,481,0.063,0
CLI-00712,38,2646770.39,117,388,0.565,1
CLI-00713,25,1300000.0,108,421,0.196,1
CLI-00714,67,3399097.63,51,630,0.143,0
CLI-00715,45,2625323.32,161,682,0.497,1
CLI-00716,22,1300000.0,73,509,0.274,0
CLI-00717,30,4712801.81,127,536,0.09,0
CLI-00718,50,4572768.95,20,835,0.146,0
CLI-00719,65,6256187.62,170,540,0.051,1
CLI-00720,25,2182519.74,134,771,0.682,0
CLI-00721,53,1321554.32,116,469,0.067,0
CLI-00722,21,3467898.45,29,569,0.197,1
CLI-00723,38,4040983.21,32,402,0.341,1
CLI-00724,52,5858429.29,45,571,0.3,0
CLI-00725,67,6739022.41,169,800,0.688,0
CLI-00726,31,6386062.44,29,761,0.078,0
CLI-00727,41,4697778.6,29,480,0.409,1
CLI-00728,46,5639098.66,9,586,0.526,0
CLI-00729,45,3047111.82,72,595,0.702,1
CLI-00730,42,4503111.35,39,575,0.484,1
CLI-00731,47,2055677.75,121,557,0.613,1
CLI-00732,33,4312833.71,28,755,0.109,0
CLI-00733,53,4359564.06,114,445,0.32,1
CLI-00734,54,7299831.49,74,771,0.312,0
CLI-00735,61,3787830.85,100,549,0.67,1
CLI-00736,55,4362077.11,67,596,0.156,0
CLI-00737,21,4626530.55,174,421,0.156,1
CLI-00738,41,3381323.43,62,667,0.28,0
CLI-00739,26,2755513.08,59,534,0.088,1
CLI-00740,48,6537860.38,75,355,0.178,1
CLI-00741,37,2434348.6,106,555,0.726,1
CLI-00742,25,1809747.47,62,381,0.35,1
CLI-00743,51,5424477.68,143,448,0.492,0
CLI-00744,25,6284066.72,173,743,0.558,0
CLI-00745,58,3387462.62,140,736,0.307,0
CLI-00746,23,3415103.72,108,605,0.153,0
CLI-00747,43,4708578.35,171,536,0.195,1
CLI-00748,57,2925865.18,90,425,0.269,1
CLI-00749,57,2792917.46,66,526,0.495,0
CLI-00750,30,5783266.66,8,664,0.329,0
CLI-00751,30,5292835.98,133,636,0.055,0
CLI-00752,39,6560086.0,91,698,0.416,0
CLI-00753,37,1945339.78,52,604,0.695,1
CLI-00754,41,3295567.52,81,674,0.618,1
CLI-00755,34,4706123.21,43,539,0.628,1
CLI-00756,29,2533882.47,169,657,0.607,0
CLI-00757,66,5355037.39,174,694,0.277,0
CLI-00758,21,6404328.76,146,476,0.586,1
CLI-00759,65,3149955.65,92,774,0.15,0
CLI-00760,33,4269465.49,63,636,0.51,0
CLI-00761,24,6820113.64,55,603,0.499,1
CLI-00762,21,7438688.84,35,562,0.068,1
CLI-00763,60,5542442.25,106,599,0.602,1
CLI-00764,52,5268172.51,30,433,0.682,1
CLI-00765,54,2663274.24,117,836,0.237,1
CLI-00766,48,4846576.92,160,732,0.619,0
CLI-00767,51,5202277.51,131,755,0.108,0
CLI-00768,28,3821333.71,128,737,0.47,0
CLI-00769,59,3129402.74,52,362,0.39,1
CLI-00770,46,1893664.19,123,394,0.432,1
CLI-00771,54,1300000.0,44,476,0.698,1
CLI-00772,23,1300000.0,21,775,0.66,0
CLI-00773,32,5242996.63,27,463,0.6,1
CLI-00774,21,4465858.79,59,782,0.242,0
CLI-00775,64,3329139.96,154,625,0.688,0
CLI-00776,25,3603378.66,21,849,0.118,0
CLI-00777,50,4578846.97,64,554,0.647,1
CLI-00778,50,3903786.47,36,686,0.28,0
CLI-00779,37,1787004.28,175,787,0.088,0
CLI-00780,67,5843400.4,37,769,0.519,0
CLI-00781,43,4747427.11,167,830,0.212,0
CLI-00782,35,4678617.26,14,734,0.22,0
CLI-00783,57,5707612.87,144,748,0.264,0
CLI-00784,41,2735438.36,15,810,0.095,0
CLI-00785,34,6384716.59,22,622,0.174,0
CLI-00786,22,3947922.87,73,757,0.054,0
CLI-00787,31,5799477.98,53,407,0.362,1
CLI-00788,59,5522008.26,116,677,0.109,0
CLI-00789,58,2330156.71,158,847,0.528,0
CLI-00790,54,5105220.73,128,568,0.215,0
CLI-00791,58,4787294.41,154,458,0.711,1
CLI-00792,54,4254560.98,106,628,0.66,1
CLI-00793,38,4030130.85,107,523,0.253,1
CLI-00794,50,4045392.15,70,677,0.598,0
CLI-00795,35,5662840.97,56,613,0.612,1
CLI-00796,47,5240238.92,41,664,0.741,0
CLI-00797,54,4254861.93,86,823,0.468,0
CLI-00798,58,1514514.94,132,460,0.107,1
CLI-00799,53,5089998.15,93,536,0.503,0
CLI-00800,44,5502504.51,109,618,0.487,0
CLI-00801,35,8340738.15,20,772,0.497,0
CLI-00802,50,6135779.51,101,578,0.265,1
CLI-00803,62,1300000.0,172,846,0.652,0
CLI-00804,37,4341172.92,128,505,0.722,1
CLI-00805,25,7460475.05,6,822,0.202,0
CLI-00806,49,5322387.94,156,538,0.112,0
CLI-00807,24,4791573.89,127,621,0.186,0
CLI-00808,30,5820411.59,172,724,0.624,0
CLI-00809,37,3079719.25,131,351,0.524,1
CLI-00810,30,5060561.99,62,595,0.495,1
CLI-00811,37,3749157.53,86,559,0.331,0
CLI-00812,40,4164677.73,167,750,0.454,0
CLI-00813,44,5691218.13,174,635,0.266,1
CLI-00814,25,2531916.42,78,708,0.384,0
CLI-00815,54,6518368.45,146,362,0.605,1
CLI-00816,26,3438938.47,75,445,0.737,1
CLI-00817,22,4669193.1,11,847,0.703,0
CLI-00818,33,1679085.67,89,570,0.704,1
CLI-00819,63,5495707.12,57,587,0.332,1
CLI-00820,63,6803707.08,8,443,0.378,1
CLI-00821,31,3273645.21,86,687,0.544,0
CLI-00822,67,2201597.9,68,618,0.696,1
CLI-00823,43,4700369.52,54,520,0.149,1
CLI-00824,36,6818659.16,81,818,0.263,0
CLI-00825,51,1590258.18,117,443,0.147,1
CLI-00826,31,2208645.27,114,498,0.478,0
CLI-00827,36,3382458.8,70,461,0.264,1
CLI-00828,28,2723381.12,86,404,0.278,1
CLI-00829,24,2729066.16,20,686,0.1,0
CLI-00830,60,1300000.0,105,773,0.295,0
CLI-00831,24,5260302.51,37,816,0.654,1
CLI-00832,45,4809696.91,101,465,0.213,1
CLI-00833,23,1300000.0,133,492,0.537,1
CLI-00834,52,6822952.37,151,550,0.491,1
CLI-00835,23,7225966.17,118,529,0.654,1
CLI-00836,47,2848370.01,88,551,0.143,1
CLI-00837,49,6299787.46,48,713,0.734,0
CLI-00838,52,3168603.95,121,828,0.458,0
CLI-00839,39,4526009.72,168,402,0.747,1
CLI-00840,41,2695628.16,83,820,0.688,0
CLI-00841,25,8185652.74,63,733,0.205,1
CLI-00842,38,3667168.99,38,529,0.089,0
CLI-00843,48,4427608.24,19,763,0.229,0
CLI-00844,62,2961712.7,167,766,0.419,0
CLI-00845,42,7550368.08,137,662,0.17,0
CLI-00846,41,7595906.36,64,657,0.167,0
CLI-00847,26,7135672.53,162,486,0.374,1
CLI-00848,21,5921592.63,88,531,0.073,0
CLI-00849,25,3075378.82,139,716,0.135,0
CLI-00850,61,5690130.17,126,350,0.341,1
CLI-00851,32,4187322.96,173,393,0.094,1
CLI-00852,46,6562335.52,88,576,0.328,0
CLI-00853,66,6208623.7,32,680,0.382,0
CLI-00854,54,3031321.96,85,447,0.366,0
CLI-00855,34,5906086.45,139,557,0.658,1
CLI-00856,46,5427662.01,18,614,0.421,1
CLI-00857,65,1300000.0,69,637,0.378,1
CLI-00858,47,5641685.95,152,620,0.337,0
CLI-00859,29,3422767.58,85,489,0.622,1
CLI-00860,46,2605123.58,128,830,0.677,1
CLI-00861,67,2682130.91,48,586,0.647,0
CLI-00862,42,3956562.79,94,811,0.521,0
CLI-00863,67,5064107.24,153,790,0.146,0
CLI-00864,50,1742168.36,100,741,0.244,0
CLI-00865,63,4541726.11,177,421,0.082,1
CLI-00866,37,5238164.52,156,504,0.702,1
CLI-00867,46,7551250.41,7,539,0.513,1
CLI-00868,56,2261957.7,125,617,0.572,1
CLI-00869,21,3570698.06,27,670,0.268,0
CLI-00870,28,4670993.35,120,456,0.642,1
CLI-00871,55,6265336.79,62,581,0.232,0
CLI-00872,35,3652397.01,77,391,0.051,1
CLI-00873,67,6357554.47,12,539,0.313,0
CLI-00874,42,1300000.0,124,720,0.45,0
CLI-00875,34,1943973.25,119,488,0.385,1
CLI-00876,46,4827559.82,21,452,0.653,1
CLI-00877,48,1660515.9,88,520,0.124,0
CLI-00878,43,2085953.05,77,700,0.438,0
CLI-00879,34,3250001.64,129,622,0.409,1
CLI-00880,44,5588590.19,118,830,0.247,0
CLI-00881,22,1300000.0,17,765,0.626,1
CLI-00882,65,4506537.05,131,570,0.577,1
CLI-00883,46,6059335.1,58,562,0.563,1
CLI-00884,34,3849098.62,80,690,0.663,1
CLI-00885,27,3536105.59,138,773,0.556,0
CLI-00886,23,4923188.31,32,756,0.212,1
CLI-00887,67,3854200.11,145,405,0.544,1
CLI-00888,43,6702899.61,150,739,0.265,0
CLI-00889,66,2199456.58,139,691,0.22,1
CLI-00890,63,4107040.52,102,783,0.101,0
CLI-00891,67,4570235.47,10,451,0.571,1
CLI-00892,65,3518782.71,62,770,0.548,0
CLI-00893,38,1300000.0,161,842,0.214,0
CLI-00894,58,3910371.17,83,541,0.575,1
CLI-00895,55,5820318.58,74,848,0.692,0
CLI-00896,35,5600596.54,123,659,0.126,0
CLI-00897,45,4838601.27,125,549,0.213,1
CLI-00898,57,2223847.75,64,582,0.575,0
CLI-00899,48,4911557.03,38,782,0.242,1
CLI-00900,30,3167811.92,67,576,0.487,1
CLI-00901,59,4836269.23,55,720,0.107,0
CLI-00902,37,4418709.02,117,488,0.367,1
CLI-00903,59,2442524.51,24,693,0.567,1
CLI-00904,42,2593579.49,128,654,0.531,0
CLI-00905,46,4839040.42,52,498,0.621,1
CLI-00906,64,3801996.43,172,464,0.664,1
CLI-00907,45,2687493.42,38,799,0.591,0
CLI-00908,37,2538905.66,146,412,0.52,1
CLI-00909,33,3653104.47,89,453,0.072,1
CLI-00910,40,7022588.63,140,688,0.424,0
CLI-00911,45,3253059.54,84,708,0.076,0
CLI-00912,24,4174764.83,19,505,0.616,1
CLI-00913,30,4382959.72,152,622,0.275,0
CLI-00914,23,2164152.5,133,355,0.444,1
CLI-00915,61,1300000.0,59,496,0.246,1
CLI-00916,65,2352046.68,153,533,0.598,1
CLI-00917,38,4644739.28,34,835,0.671,1
CLI-00918,67,4357195.9,29,377,0.329,0
CLI-00919,56,5464331.82,87,799,0.654,0
CLI-00920,67,4374149.81,68,387,0.237,1
CLI-00921,42,4002811.28,110,468,0.424,0
CLI-00922,54,3112777.91,62,642,0.651,1
CLI-00923,67,5792292.22,141,720,0.278,0
CLI-00924,28,2545475.75,67,593,0.718,1
CLI-00925,60,2201280.87,162,417,0.135,1
CLI-00926,64,5220699.93,22,563,0.063,1
CLI-00927,39,1800316.84,71,567,0.683,1
CLI-00928,62,8546623.8,11,526,0.098,0
CLI-00929,61,4343988.09,63,648,0.744,1
CLI-00930,57,4826231.01,74,513,0.716,1
CLI-00931,26,2744844.32,161,407,0.146,1
CLI-00932,46,3632523.28,67,618,0.426,0
CLI-00933,54,3431837.19,174,657,0.179,0
CLI-00934,65,3224697.02,87,407,0.35,1
CLI-00935,26,5339331.15,174,637,0.093,1
CLI-00936,57,3390763.13,76,814,0.207,0
CLI-00937,53,6031502.21,136,454,0.304,1
CLI-00938,42,8993728.23,15,577,0.357,0
CLI-00939,41,3668025.77,103,596,0.734,1
CLI-00940,26,4474167.92,94,537,0.616,1
CLI-00941,26,4883067.7,40,843,0.566,1
CLI-00942,24,7460708.66,7,432,0.426,1
CLI-00943,50,4051233.99,129,535,0.638,1
CLI-00944,31,2707769.54,29,601,0.288,0
CLI-00945,50,1920587.09,79,704,0.546,1
CLI-00946,51,4095628.89,171,587,0.746,1
CLI-00947,44,3392915.61,27,709,0.27,1
CLI-00948,29,7818016.72,159,533,0.522,0
CLI-00949,23,7385752.36,176,633,0.641,0
CLI-00950,51,2338128.91,44,734,0.691,0
CLI-00951,60,2920631.81,162,775,0.553,0
CLI-00952,57,4332786.19,25,559,0.249,0
CLI-00953,56,6715007.56,46,653,0.278,0
CLI-00954,44,4302623.65,153,645,0.065,0
CLI-00955,51,3034966.85,113,446,0.583,1
CLI-00956,26,4094012.74,152,796,0.08,0
CLI-00957,22,3068727.24,89,809,0.655,1
CLI-00958,40,5284458.98,116,805,0.133,0
CLI-00959,48,2923739.32,71,821,0.17,0
CLI-00960,31,3281215.11,163,557,0.384,0
CLI-00961,24,6291480.86,58,719,0.567,1
CLI-00962,35,2816943.09,39,737,0.147,0
CLI-00963,26,1596969.54,155,771,0.358,1
CLI-00964,50,4370988.75,72,841,0.388,0
CLI-00965,58,3551147.87,139,760,0.199,0
CLI-00966,22,5120547.9,32,486,0.131,1
CLI-00967,35,4771449.48,15,716,0.635,0
CLI-00968,31,4142546.71,78,749,0.402,0
CLI-00969,28,4090121.83,101,533,0.06,1
CLI-00970,46,2875454.79,53,425,0.612,1
CLI-00971,65,4350024.73,75,636,0.737,1
CLI-00972,64,5786312.61,105,821,0.474,0
CLI-00973,25,2447795.87,64,724,0.403,0
CLI-00974,26,4190284.72,7,491,0.665,1
CLI-00975,46,6069099.76,162,586,0.717,1
CLI-00976,24,5109763.37,70,374,0.578,1
CLI-00977,39,6557051.21,88,639,0.362,0
CLI-00978,40,3177343.81,159,416,0.465,1
CLI-00979,53,1300000.0,15,599,0.541,1
CLI-00980,40,4561173.25,58,757,0.186,0
CLI-00981,32,4852627.47,84,467,0.363,1
CLI-00982,67,6663159.52,64,839,0.631,0
CLI-00983,21,6338662.32,155,422,0.508,1
CLI-00984,46,5166138.52,53,631,0.338,1
CLI-00985,34,5577702.39,154,753,0.514,0
CLI-00986,58,3854721.38,128,797,0.133,0
CLI-00987,57,2005593.7,27,709,0.331,0
CLI-00988,31,4411898.19,105,359,0.605,1
CLI-00989,56,5968632.23,103,560,0.204,1
CLI-00990,33,5381449.57,163,672,0.18,0
CLI-00991,63,5700853.21,30,501,0.716,0
CLI-00992,23,3430039.76,33,354,0.197,1
CLI-00993,53,3722015.69,118,544,0.233,1
CLI-00994,26,5070165.88,50,791,0.729,0
CLI-00995,30,3216286.69,73,632,0.564,1
CLI-00996,25,3271709.27,12,813,0.54,1
CLI-00997,43,4736368.03,54,462,0.647,0
CLI-00998,30,5569628.54,142,620,0.131,1
CLI-00999,64,3840848.39,169,512,0.544,0
CLI-01000,22,2106258.97,88,809,0.403,0
CLI-01001,33,2875552.95,134,454,0.63,1
CLI-01002,60,4566609.75,143,530,0.406,1
CLI-01003,22,4544737.73,169,393,0.484,1
CLI-01004,40,4634228.65,78,631,0.384,0
CLI-01005,21,5138331.52,51,524,0.385,0
CLI-01006,57,4210459.01,111,511,0.588,1
CLI-01007,29,4677100.88,165,820,0.49,0
CLI-01008,37,4118951.72,37,700,0.493,0
CLI-01009,29,6267720.27,11,783,0.365,0
CLI-01010,31,6778215.66,171,689,0.422,0
CLI-01011,35,2059779.69,150,489,0.572,1
CLI-01012,44,3740546.5,79,820,0.628,0
CLI-01013,58,4258904.08,119,481,0.538,0
CLI-01014,55,3719553.52,32,436,0.697,1
CLI-01015,50,7427260.66,59,525,0.624,0
CLI-01016,51,4603119.5,168,532,0.443,0
CLI-01017,25,2750330.71,90,717,0.52,1
CLI-01018,64,5273596.21,132,478,0.698,1
CLI-01019,34,4687754.17,158,595,0.483,0
CLI-01020,31,4747547.26,161,438,0.627,1
CLI-01021,29,7454177.09,116,415,0.532,1
CLI-01022,54,4831413.32,20,507,0.436,1
CLI-01023,32,3653409.26,137,736,0.219,0
CLI-01024,55,1300000.0,98,727,0.348,0
CLI-01025,55,3902281.77,128,498,0.727,0
CLI-01026,21,6550745.85,78,822,0.51,0
CLI-01027,60,4035895.58,160,689,0.445,0
CLI-01028,42,1300000.0,159,782,0.703,0
CLI-01029,49,3302947.69,152,465,0.461,1
CLI-01030,28,5986839.37,97,563,0.418,0
CLI-01031,31,5182470.91,22,818,0.582,1
CLI-01032,61,2688214.39,48,795,0.549,0
CLI-01033,57,3182487.4,126,830,0.185,0
CLI-01034,34,3460724.41,46,721,0.38,1
CLI-01035,50,3007115.21,175,643,0.381,1
CLI-01036,55,1300000.0,173,602,0.315,0
CLI-01037,41,5574463.98,44,492,0.412,1
CLI-01038,57,6462707.92,118,599,0.339,0
CLI-01039,25,1466791.9,156,715,0.19,1
CLI-01040,39,6438935.28,116,785,0.339,0
CLI-01041,34,4014558.24,52,812,0.101,0
CLI-01042,46,6405238.23,68,651,0.453,0
CLI-01043,24,4268310.79,115,374,0.648,1
CLI-01044,45,4443980.27,74,626,0.558,1
CLI-01045,65,4870382.36,48,821,0.302,0
CLI-01046,62,2777880.61,39,726,0.111,0
CLI-01047,45,6350413.46,45,727,0.192,0
CLI-01048,38,2181514.85,66,738,0.432,1
CLI-01049,60,3476279.86,67,419,0.195,0
CLI-01050,28,5143676.42,63,462,0.431,1
CLI-01051,59,3283448.57,166,712,0.212,0
CLI-01052,60,5599556.23,80,461,0.644,1
CLI-01053,34,6676559.11,21,713,0.328,0
CLI-01054,52,6022582.8,87,652,0.222,0
CLI-01055,58,1300000.0,99,820,0.619,0
CLI-01056,53,4426524.55,53,801,0.29,0
CLI-01057,43,6051628.7,143,440,0.128,0
CLI-01058,35,1829852.08,87,367,0.449,1
CLI-01059,53,5502499.06,43,498,0.457,1
CLI-01060,45,5401429.41,132,825,0.55,0
CLI-01061,37,2018238.19,24,576,0.218,0
CLI-01062,53,5701618.8,169,563,0.361,0
CLI-01063,67,4690856.03,68,709,0.248,0
CLI-01064,22,5370687.22,82,500,0.107,1
CLI-01065,34,2460637.71,179,541,0.664,1
CLI-01066,60,4470245.01,136,800,0.56,0
CLI-01067,60,1300000.0,107,389,0.261,1
CLI-01068,59,1300000.0,70,591,0.47,1
CLI-01069,26,4453491.17,125,487,0.191,1
CLI-01070,26,6181075.69,96,694,0.673,1
CLI-01071,23,4655286.27,13,529,0.13,1
CLI-01072,27,4085797.08,78,846,0.053,0
CLI-01073,28,3862438.58,139,549,0.401,1
CLI-01074,62,2503382.3,112,552,0.458,1
CLI-01075,35,3800650.37,94,410,0.455,0
CLI-01076,67,4959032.04,44,541,0.088,0
CLI-01077,49,3416599.98,118,354,0.27,1
CLI-01078,53,5551056.34,33,727,0.399,0
CLI-01079,50,4552755.06,102,586,0.202,1
CLI-01080,59,4770562.95,42,530,0.661,0
CLI-01081,47,5799592.96,142,660,0.111,0
CLI-01082,56,3251840.22,87,386,0.391,1
CLI-01083,49,5386885.06,61,405,0.534,1
CLI-01084,58,3504341.91,90,792,0.233,0
CLI-01085,53,4811126.07,7,586,0.487,0
CLI-01086,57,3037611.57,63,707,0.631,1
CLI-01087,47,2560733.12,112,698,0.183,0
CLI-01088,53,4365356.54,128,546,0.692,1
CLI-01089,24,1300000.0,173,422,0.437,0
CLI-01090,42,3666718.6,169,408,0.259,1
CLI-01091,22,1308521.39,119,589,0.352,0
CLI-01092,30,5602621.26,112,351,0.269,1
CLI-01093,25,6090199.07,42,798,0.558,0
CLI-01094,30,2644887.8,84,709,0.607,0
CLI-01095,53,4970963.33,97,537,0.633,1
CLI-01096,58,5818444.28,23,656,0.74,1
CLI-01097,33,5824444.6,103,379,0.604,1
CLI-01098,51,4586011.5,68,616,0.471,1
CLI-01099,67,5521748.42,155,825,0.287,0
CLI-01100,56,3031203.64,144,457,0.431,1
CLI-01101,65,4349620.44,9,681,0.079,1
CLI-01102,44,3359213.87,140,772,0.571,0
CLI-01103,35,2879181.65,66,439,0.362,0
CLI-01104,49,4264914.1,112,554,0.064,0
CLI-01105,28,4825554.68,59,728,0.094,0
CLI-01106,25,6294315.78,93,805,0.321,0
CLI-01107,49,4677279.95,73,796,0.458,0
CLI-01108,67,5355474.96,134,797,0.375,0
CLI-01109,24,5375909.71,60,794,0.483,0
CLI-01110,32,9037561.86,8,730,0.386,0
CLI-01111,65,1300000.0,171,787,0.513,0
CLI-01112,22,2961719.04,126,569,0.203,1
