id_cliente,edad,ingreso_anual_k_usd,puntuacion_gasto,visitas_mensuales
CLUST-00870,42,58,71,2
CLUST-00871,38,23,88,1
CLUST-00872,53,73,16,2
CLUST-00873,37,104,88,2
CLUST-00874,33,105,43,4
CLUST-00875,45,41,7,2
CLUST-00876,46,96,43,4
CLUST-00877,67,108,28,4
CLUST-00878,43,123,66,5
CLUST-00879,57,73,98,5
CLUST-00880,19,124,60,4
CLUST-00881,66,109,3,6
CLUST-00882,27,120,1,4
CLUST-00883,30,17,31,2
CLUST-00884,32,107,56,5
CLUST-00885,26,21,87,6
CLUST-00886,44,96,84,4
CLUST-00887,25,30,80,4
CLUST-00888,23,63,46,6
CLUST-00889,53,135,32,4
CLUST-00890,67,46,81,3
CLUST-00891,41,116,18,5
CLUST-00892,20,103,68,3
CLUST-00893,43,58,35,1
CLUST-00894,53,110,23,2
CLUST-00895,38,33,79,3
CLUST-00896,30,17,13,5
CLUST-00897,69,136,78,3
CLUST-00898,28,74,14,4
CLUST-00899,25,49,37,3
CLUST-00900,63,128,5,3
CLUST-00901,63,43,22,4
CLUST-00902,65,89,28,5
CLUST-00903,31,84,4,6
CLUST-00904,50,97,50,5
CLUST-00905,19,115,29,4
CLUST-00906,69,59,37,5
CLUST-00907,18,41,35,3
CLUST-00908,28,83,20,6
CLUST-00909,23,104,35,1
CLUST-00910,49,49,99,2
CLUST-00911,32,33,84,4
CLUST-00912,29,31,2,5
CLUST-00913,54,132,58,3
CLUST-00914,46,49,18,4
CLUST-00915,61,125,94,2
CLUST-00916,39,127,56,4
CLUST-00917,63,91,64,5
CLUST-00918,31,92,93,6
CLUST-00919,36,44,52,4
CLUST-00920,22,139,22,7
CLUST-00921,52,136,93,4
CLUST-00922,42,62,60,2
CLUST-00923,67,71,10,1
CLUST-00924,55,121,84,2
CLUST-00925,26,31,80,2
CLUST-00926,24,115,6,2
CLUST-00927,35,131,81,2
CLUST-00928,19,29,6,3
CLUST-00929,69,96,86,6
CLUST-00930,27,126,82,2
CLUST-00931,61,28,96,9
CLUST-00932,19,28,28,3
CLUST-00933,62,59,42,3
CLUST-00934,25,111,74,5
CLUST-00935,24,52,41,2
CLUST-00936,52,77,63,8
CLUST-00937,40,133,22,6
CLUST-00938,25,89,92,3
CLUST-00939,38,25,79,2
CLUST-00940,50,135,29,2
CLUST-00941,64,62,71,4
CLUST-00942,18,134,34,11
CLUST-00943,29,40,96,4
CLUST-00944,28,81,2,6
CLUST-00945,65,39,26,1
CLUST-00946,47,95,75,5
CLUST-00947,21,75,89,5
CLUST-00948,51,100,19,5
CLUST-00949,40,107,20,2
CLUST-00950,49,124,33,5
CLUST-00951,20,40,81,5
CLUST-00952,45,48,94,5
CLUST-00953,21,104,82,4
CLUST-00954,67,135,96,4
CLUST-00955,29,23,4,4
CLUST-00956,41,54,32,4
CLUST-00957,50,139,19,2
CLUST-00958,20,89,3,2
CLUST-00959,21,21,92,5
CLUST-00960,47,44,61,5
CLUST-00961,23,132,38,6
CLUST-00962,66,80,6,4
CLUST-00963,47,44,56,5
CLUST-00964,25,82,40,2
CLUST-00965,35,72,81,6
CLUST-00966,33,69,69,0
CLUST-00967,23,28,83,5
CLUST-00968,41,91,42,3
CLUST-00969,68,132,99,2
CLUST-00970,45,103,86,8
CLUST-00971,49,91,88,4
CLUST-00972,42,91,74,6
CLUST-00973,45,51,2,4
CLUST-00974,38,138,28,2
CLUST-00975,25,58,17,7
CLUST-00976,53,20,70,5
CLUST-00977,26,40,69,2
CLUST-00978,57,132,39,5
CLUST-00979,38,28,7,13
CLUST-00980,68,22,32,2
CLUST-00981,18,38,4,3
CLUST-00982,21,100,21,4
CLUST-00983,27,118,32,6
CLUST-00984,43,53,82,6
CLUST-00985,57,63,97,1
CLUST-00986,20,99,14,2
CLUST-00987,61,121,70,4
CLUST-00988,26,77,75,3
CLUST-00989,49,40,46,5
CLUST-00990,20,24,20,6
CLUST-00991,21,91,93,5
CLUST-00992,23,120,58,4
CLUST-00993,26,131,99,4
CLUST-00994,43,72,80,3
CLUST-00995,19,28,48,5
CLUST-00996,19,87,7,6
CLUST-00997,67,85,40,2
CLUST-00998,38,53,59,6
CLUST-00999,39,136,36,3
CLUST-01000,20,45,44,3
CLUST-01001,52,64,31,4
CLUST-01002,67,30,42,1
CLUST-01003,55,86,44,4
CLUST-01004,50,126,43,0
CLUST-01005,32,65,43,3
CLUST-01006,28,29,47,4
CLUST-01007,27,103,6,4
CLUST-01008,53,125,93,2
CLUST-01009,31,52,91,6
CLUST-01010,19,119,66,4
CLUST-01011,62,93,86,5
CLUST-01012,65,103,9,5
CLUST-01013,61,85,11,3
CLUST-01014,54,104,80,2
CLUST-01015,68,138,77,5
CLUST-01016,46,86,18,3
CLUST-01017,52,96,25,12
CLUST-01018,37,35,97,5
CLUST-01019,38,30,74,2
CLUST-01020,51,125,58,4
CLUST-01021,66,81,30,5
CLUST-01022,60,79,1,6
CLUST-01023,50,27,63,1
CLUST-01024,36,132,97,3
CLUST-01025,25,78,79,6
CLUST-01026,48,75,29,6
CLUST-01027,28,46,66,3
CLUST-01028,25,26,75,4
CLUST-01029,42,109,53,2
CLUST-01030,66,55,98,3
CLUST-01031,37,80,19,3
CLUST-01032,55,119,66,3
CLUST-01033,24,22,84,5
CLUST-01034,30,73,52,3
CLUST-01035,56,39,31,1
CLUST-01036,60,19,60,5
CLUST-01037,27,59,68,4
CLUST-01038,25,16,93,3
CLUST-01039,59,56,30,3
CLUST-01040,60,136,13,5
CLUST-01041,37,52,15,7
CLUST-01042,34,117,20,4
CLUST-01043,28,17,34,4
CLUST-01044,33,60,92,5
CLUST-01045,54,126,20,4
CLUST-01046,59,116,50,1
CLUST-01047,49,36,89,1
CLUST-01048,43,118,27,6
CLUST-01049,69,47,30,4
CLUST-01050,54,130,56,3
CLUST-01051,69,46,84,2
CLUST-01052,26,125,65,7
CLUST-01053,52,31,99,2
CLUST-01054,20,134,55,3
CLUST-01055,48,96,24,3
CLUST-01056,59,70,25,3
CLUST-01057,24,17,53,5
CLUST-01058,19,134,76,3
CLUST-01059,42,84,11,4
CLUST-01060,57,63,94,4
CLUST-01061,29,69,60,7
CLUST-01062,47,91,77,4
CLUST-01063,47,133,47,0
CLUST-01064,46,132,25,5
CLUST-01065,58,45,25,5
CLUST-01066,28,95,17,3
CLUST-01067,68,35,12,5
CLUST-01068,69,30,52,5
CLUST-01069,40,31,11,5
CLUST-01070,34,110,10,4
CLUST-01071,30,15,81,2
CLUST-01072,50,126,60,1
CLUST-01073,18,116,54,1
CLUST-01074,57,86,80,5
CLUST-01075,30,79,63,2
CLUST-01076,55,80,20,1
CLUST-01077,20,125,5,3
CLUST-01078,33,51,41,3
CLUST-01079,59,38,63,4
CLUST-01080,24,105,56,6
CLUST-01081,20,98,32,8
CLUST-01082,31,125,27,3
CLUST-01083,33,76,68,5
CLUST-01084,21,35,48,4
CLUST-01085,48,120,7,6
CLUST-01086,30,51,46,7
CLUST-01087,44,49,78,9
CLUST-01088,18,52,88,2
CLUST-01089,42,67,18,4
CLUST-01090,54,29,38,5
CLUST-01091,67,128,65,1
CLUST-01092,61,124,17,4
CLUST-01093,28,56,90,6
CLUST-01094,26,108,86,2
CLUST-01095,24,18,82,3
CLUST-01096,31,121,38,3
CLUST-01097,47,130,92,5
CLUST-01098,41,53,85,4
CLUST-01099,20,93,63,2
CLUST-01100,65,37,97,6
CLUST-01101,56,119,94,7
CLUST-01102,44,29,42,4
CLUST-01103,18,104,8,4
CLUST-01104,55,26,30,1
CLUST-01105,43,96,64,3
CLUST-01106,23,84,9,2
CLUST-01107,59,96,97,5
CLUST-01108,29,135,57,7
CLUST-01109,68,128,59,6
CLUST-01110,55,68,93,4
CLUST-01111,63,102,95,3
CLUST-01112,52,52,67,3
CLUST-01113,27,42,75,5
CLUST-01114,26,93,5,7
CLUST-01115,40,33,95,3
CLUST-01116,47,83,84,6
CLUST-01117,69,78,4,4
CLUST-01118,68,18,8,5
CLUST-01119,39,95,42,4
CLUST-01120,64,131,35,3
CLUST-01121,26,24,13,8
CLUST-01122,36,26,5,5
CLUST-01123,25,83,40,8
CLUST-01124,21,21,19,3
CLUST-01125,22,58,82,6
CLUST-01126,36,37,97,5
CLUST-01127,63,16,4,4
CLUST-01128,35,108,59,5
CLUST-01129,46,130,18,3
CLUST-01130,36,127,24,1
CLUST-01131,23,123,93,5
CLUST-01132,22,51,31,3
CLUST-01133,60,83,58,6
CLUST-01134,22,34,28,5
CLUST-01135,25,104,9,1
CLUST-01136,44,58,45,6
CLUST-01137,54,122,90,1
CLUST-01138,60,117,49,9
CLUST-01139,62,84,2,6
CLUST-01140,55,107,6,4
CLUST-01141,54,88,29,2
CLUST-01142,35,65,26,3
CLUST-01143,43,94,28,4
CLUST-01144,59,112,7,6
CLUST-01145,33,45,34,2
CLUST-01146,39,114,56,2
CLUST-01147,63,55,10,3
CLUST-01148,40,72,57,4
CLUST-01149,64,19,47,1
CLUST-01150,20,47,86,3
CLUST-01151,20,57,27,3
CLUST-01152,29,33,39,2
CLUST-01153,40,46,22,7
CLUST-01154,64,135,19,2
CLUST-01155,28,101,9,8
CLUST-01156,59,17,19,5
CLUST-01157,69,15,2,7
CLUST-01158,64,114,92,1
CLUST-01159,67,55,61,2
CLUST-01160,63,106,59,4
CLUST-01161,46,62,86,4
CLUST-01162,23,53,70,8
CLUST-01163,63,19,71,1
CLUST-01164,33,91,70,2
CLUST-01165,51,25,33,3
CLUST-01166,68,124,78,5
CLUST-01167,54,36,65,5
CLUST-01168,28,127,25,2
CLUST-01169,28,101,70,3
CLUST-01170,42,78,28,7
CLUST-01171,36,26,18,4
CLUST-01172,49,67,63,8
CLUST-01173,67,69,91,4
CLUST-01174,25,67,49,3
CLUST-01175,29,35,66,5
CLUST-01176,58,33,40,7
CLUST-01177,52,83,85,5
CLUST-01178,23,102,87,3
CLUST-01179,38,108,66,5
CLUST-01180,43,86,80,3
CLUST-01181,18,80,4,6
CLUST-01182,34,73,34,1
CLUST-01183,52,63,5,6
CLUST-01184,44,112,98,4
CLUST-01185,67,73,22,1
CLUST-01186,67,37,20,1
CLUST-01187,19,17,47,3
CLUST-01188,53,70,77,4
CLUST-01189,18,130,34,4
CLUST-01190,27,72,44,5
CLUST-01191,48,136,6,3
CLUST-01192,54,102,56,8
CLUST-01193,22,76,29,5
CLUST-01194,58,32,97,8
CLUST-01195,63,75,53,4
CLUST-01196,30,125,1,3
CLUST-01197,62,51,59,3
CLUST-01198,41,68,48,4
CLUST-01199,44,127,7,3
CLUST-01200,18,109,86,5
