id_cliente,edad,ingresos_mensuales,gastos_mensuales,score_digital,llamadas_soporte,antiguedad_meses,segmento
CLI-00480,47,4941757.3,3824092.6,60,4,82,1
CLI-00481,36,6196832.53,4819597.67,46,3,115,2
CLI-00482,34,8821257.41,6160672.88,82,3,44,2
CLI-00483,36,3613996.28,2566531.35,78,2,108,1
CLI-00484,45,3171740.87,1924802.97,51,1,82,1
CLI-00485,43,7023938.52,4365851.55,66,2,10,1
CLI-00486,54,6506593.8,2430263.66,75,2,71,1
CLI-00487,43,7763444.25,4224265.11,18,3,50,2
CLI-00488,40,6753546.39,3700450.12,95,0,44,1
CLI-00489,26,4250938.86,3516265.29,73,0,14,1
CLI-00490,29,6450823.83,3464723.12,95,3,15,1
CLI-00491,18,2987321.6,1798781.21,31,2,16,0
CLI-00492,18,4949298.83,2936360.94,43,3,2,1
CLI-00493,64,6606158.31,4295449.28,64,3,30,1
CLI-00494,51,4706868.72,3349069.16,38,4,30,1
CLI-00495,49,10929714.8,4631718.38,47,3,82,2
CLI-00496,65,1400000.0,827117.8,27,2,31,1
CLI-00497,42,4295521.21,3239917.23,80,5,108,1
CLI-00498,57,3436884.37,1906484.76,74,3,112,0
CLI-00499,62,3959232.62,1794132.8,10,4,77,1
CLI-00500,18,4085403.91,2696734.23,97,2,20,1
CLI-00501,33,2581874.49,1944337.56,13,5,49,0
CLI-00502,56,7155944.73,2395289.06,13,3,114,1
CLI-00503,22,4296390.35,3124484.43,91,3,35,1
CLI-00504,39,5859861.34,4406067.03,36,3,23,1
CLI-00505,46,4543383.32,2516296.56,52,4,106,1
CLI-00506,20,3980063.09,3346509.13,68,3,97,1
CLI-00507,29,9179014.32,6725368.21,41,2,102,2
CLI-00508,43,7530450.8,5463450.57,42,4,99,2
CLI-00509,33,1400000.0,995835.7,37,3,115,2
CLI-00510,68,1400000.0,535968.24,64,2,100,1
CLI-00511,54,7793739.44,3269294.34,69,2,61,2
CLI-00512,39,4356322.54,2418606.63,79,4,84,1
CLI-00513,46,1872018.87,833427.28,71,1,55,2
CLI-00514,31,7800617.29,4121709.94,89,2,67,2
CLI-00515,45,5872072.91,4631041.19,43,3,8,1
CLI-00516,22,6053456.39,4560551.71,96,1,40,1
CLI-00517,64,7280986.4,4707317.4,97,1,59,1
CLI-00518,66,2618050.25,2021046.35,65,6,32,0
CLI-00519,47,1910698.19,1396863.32,22,1,93,2
CLI-00520,63,8978099.45,4811737.99,65,4,7,2
CLI-00521,69,2338233.13,960045.4,27,1,2,1
CLI-00522,22,2811076.85,1638325.31,63,1,85,0
CLI-00523,29,3250642.16,2291461.8,86,3,6,1
CLI-00524,33,10075881.03,5441285.88,52,5,92,2
CLI-00525,43,6585443.26,4390676.7,48,2,112,1
CLI-00526,43,7623897.54,2682697.71,70,3,106,2
CLI-00527,65,5931568.6,4219733.35,51,4,36,1
CLI-00528,38,4175848.14,3119327.2,90,1,32,1
CLI-00529,56,6888840.82,4744763.66,88,0,45,1
CLI-00530,53,2075444.86,1726759.69,27,2,42,0
CLI-00531,50,3090376.41,2332179.23,32,2,53,0
CLI-00532,47,7112545.39,5666575.94,63,1,110,1
CLI-00533,54,2514038.49,2045080.05,39,1,9,1
CLI-00534,40,5084020.77,3765944.64,67,2,75,1
CLI-00535,27,5184272.84,3477829.84,77,2,87,1
CLI-00536,22,4336943.59,1314723.72,76,3,114,1
CLI-00537,53,1400000.0,778685.83,80,3,75,2
CLI-00538,51,4116356.44,2528016.12,27,2,49,2
CLI-00539,69,3685069.57,1721725.86,16,2,2,1
CLI-00540,48,5855167.7,2780955.5,49,3,67,1
CLI-00541,27,5743079.19,4758931.81,79,1,11,1
CLI-00542,36,6331515.21,5004689.06,95,2,50,2
CLI-00543,49,4012830.2,3078035.2,74,3,35,1
CLI-00544,18,6650111.49,3480046.51,77,3,15,1
CLI-00545,22,2076785.19,638682.48,58,4,107,0
CLI-00546,62,1491809.59,513364.85,61,3,75,0
CLI-00547,21,1400000.0,660391.2,38,0,31,0
CLI-00548,33,4401546.07,1358575.06,30,1,92,2
CLI-00549,41,3842743.91,1189069.39,99,3,62,1
CLI-00550,33,7236494.35,5819095.34,87,3,28,1
CLI-00551,19,4072942.31,2803761.26,18,1,96,1
CLI-00552,66,6101427.97,2867218.39,56,2,25,1
CLI-00553,45,7289252.47,2718559.64,85,4,84,2
CLI-00554,49,3990098.03,2319841.58,51,1,92,1
CLI-00555,44,6155714.86,1864814.65,60,4,25,1
CLI-00556,37,7704240.61,6287643.08,65,3,75,2
CLI-00557,41,2776041.9,1466161.85,60,4,83,1
CLI-00558,29,5554675.14,2895564.53,79,0,92,1
CLI-00559,67,3999524.36,2059061.06,29,2,1,1
CLI-00560,52,2916122.26,986030.12,97,6,59,2
CLI-00561,50,2119806.17,1380157.53,36,4,69,0
CLI-00562,50,2880573.14,2025480.74,47,3,74,2
CLI-00563,68,5632063.81,3784008.9,81,1,42,1
CLI-00564,60,1956142.2,735782.39,74,1,110,2
CLI-00565,54,4288400.55,2651784.34,63,0,34,1
CLI-00566,29,7289027.7,4469751.81,33,3,100,1
CLI-00567,20,6487824.12,5045100.29,56,1,66,1
CLI-00568,18,4332883.23,2203358.7,80,4,18,1
CLI-00569,50,9217318.91,4648453.1,92,3,77,2
CLI-00570,57,9664680.11,6187230.42,95,0,115,2
CLI-00571,27,5557469.35,3602295.83,72,3,5,1
CLI-00572,60,1400000.0,781349.63,66,3,20,2
CLI-00573,61,7450186.03,4050536.88,64,0,66,1
CLI-00574,46,1400000.0,800493.71,69,3,75,2
CLI-00575,30,8747521.44,6766863.15,71,3,62,2
CLI-00576,29,7883886.78,4364849.23,39,3,94,2
CLI-00577,48,9403267.51,7682116.8,31,3,96,2
CLI-00578,63,6072584.23,3505108.19,84,1,32,1
CLI-00579,19,4704951.31,3867754.07,93,3,58,2
CLI-00580,68,4509777.51,3418670.87,38,2,50,1
CLI-00581,67,4298227.62,2146265.06,50,1,38,1
CLI-00582,52,7658351.04,5935243.36,51,3,55,2
CLI-00583,40,7066997.28,2547898.5,74,1,28,1
CLI-00584,34,5764496.39,4662186.02,40,0,74,1
CLI-00585,43,3911201.12,2532126.99,39,2,86,1
CLI-00586,25,11284267.79,3722848.21,27,1,119,2
CLI-00587,46,7507224.15,4912286.04,26,1,81,2
CLI-00588,43,1985033.78,1659163.11,47,2,22,2
CLI-00589,27,4364236.76,1476815.65,23,3,43,1
CLI-00590,43,7549907.41,4568284.69,96,1,83,2
CLI-00591,51,3741014.37,2660934.49,98,2,81,1
CLI-00592,68,6273405.51,4677716.03,88,4,88,1
CLI-00593,58,7591751.86,4005447.04,65,2,36,2
CLI-00594,24,1400000.0,577208.25,31,3,96,2
CLI-00595,21,5262317.06,1701245.29,76,5,110,2
CLI-00596,67,5348660.14,3310015.05,65,4,52,1
CLI-00597,62,4593440.6,2522263.23,28,0,36,1
CLI-00598,28,6163729.3,5065410.78,66,3,28,1
CLI-00599,46,6946543.14,2315509.98,53,3,78,1
CLI-00600,53,5812512.08,3934881.42,44,4,58,1
CLI-00601,42,4677579.73,1467503.74,10,2,36,1
CLI-00602,38,6891766.86,2717346.47,61,1,70,1
CLI-00603,53,5607917.5,3081373.74,94,0,9,1
CLI-00604,27,4992459.09,2746750.36,79,3,21,1
CLI-00605,54,2612985.35,1769344.62,46,2,64,0
CLI-00606,26,2062159.47,1651000.28,74,3,76,0
CLI-00607,41,2571294.46,1675115.26,60,4,61,1
CLI-00608,52,6112323.93,5039270.65,10,1,94,1
CLI-00609,66,5326026.76,4180337.7,30,2,95,1
CLI-00610,52,2243374.98,1394201.21,62,1,40,1
CLI-00611,65,6921019.22,5250185.33,25,3,56,2
CLI-00612,53,8523480.93,5569393.18,70,3,4,1
CLI-00613,35,4183314.04,1435741.85,63,2,31,1
CLI-00614,66,1669839.91,1181095.46,49,1,27,0
CLI-00615,56,3939921.95,1387639.1,35,4,58,1
CLI-00616,49,7379813.38,4625265.04,89,2,25,2
CLI-00617,41,6706765.69,4603873.48,74,0,69,1
CLI-00618,40,3470648.09,1168186.08,83,3,70,2
CLI-00619,49,8846578.7,3776932.3,73,5,5,2
CLI-00620,54,8466216.15,6803618.32,52,4,115,2
CLI-00621,29,3887386.66,2483935.0,26,5,91,0
CLI-00622,66,3864761.99,1682938.86,68,4,8,1
CLI-00623,30,4195778.54,2852600.21,32,1,9,1
CLI-00624,40,4383867.89,2754064.31,16,2,15,1
CLI-00625,42,7591183.62,4371509.37,53,1,100,2
CLI-00626,52,6435723.93,5386075.61,62,2,105,1
CLI-00627,58,7429573.29,5021645.45,80,4,7,1
CLI-00628,47,6981843.32,3536252.05,88,1,96,1
CLI-00629,34,9271959.55,6861624.54,43,4,72,2
CLI-00630,66,3169351.8,2492761.15,55,4,111,1
CLI-00631,37,6336788.77,2337459.56,77,2,115,2
CLI-00632,65,1400000.0,574425.79,87,3,15,2
CLI-00633,42,2602697.74,1090334.77,87,4,37,2
CLI-00634,39,5335322.55,3628907.64,25,2,83,1
CLI-00635,30,6420054.55,4055367.13,80,1,39,2
CLI-00636,36,5276005.37,3378993.16,28,3,6,1
CLI-00637,66,4252176.68,3475836.86,11,5,83,1
CLI-00638,53,4643280.67,3374510.46,19,2,57,1
CLI-00639,29,8512770.15,3152834.74,59,6,92,2
CLI-00640,58,4655129.21,2286268.47,90,3,81,1
CLI-00641,36,9348331.57,5043111.76,21,2,106,2
CLI-00642,29,7246837.56,3752259.39,79,0,19,1
CLI-00643,26,6506582.16,4347175.95,31,2,63,0
CLI-00644,24,2874086.8,2272084.05,41,1,31,0
CLI-00645,45,7557523.96,3539402.39,93,2,75,2
CLI-00646,31,4413704.73,2663813.92,10,2,79,1
CLI-00647,48,2872232.53,2108721.84,63,1,10,1
CLI-00648,69,6628255.95,3505816.69,67,6,107,1
CLI-00649,36,2446518.67,960172.88,79,0,87,2
CLI-00650,64,3823068.78,2145594.25,92,4,67,2
CLI-00651,33,5477744.99,1809695.68,27,5,62,2
CLI-00652,22,10380527.13,8494498.5,15,6,3,2
CLI-00653,52,3988785.34,1360780.75,54,0,18,1
CLI-00654,29,4491923.66,2430809.85,32,4,25,1
CLI-00655,42,7111159.12,4205786.22,32,3,107,2
CLI-00656,69,2775749.49,2336950.98,35,1,20,0
CLI-00657,38,6474174.04,2533422.01,86,5,58,1
CLI-00658,53,8153038.98,2959042.24,16,2,93,2
CLI-00659,40,4824391.25,1470418.4,88,4,86,1
CLI-00660,33,7757539.42,2991030.18,53,0,50,2
CLI-00661,56,6141189.83,2542453.44,36,4,79,2
CLI-00662,62,3892499.68,2517744.77,35,2,103,1
CLI-00663,59,5064829.69,2131476.52,88,0,10,1
CLI-00664,56,4664533.85,1452006.17,45,5,21,1
CLI-00665,31,5307195.83,4005022.74,64,1,119,1
CLI-00666,48,5835979.38,2924278.75,73,3,116,1
CLI-00667,22,6794039.86,3359878.12,66,4,29,1
CLI-00668,52,6619070.15,3086892.5,78,0,96,1
CLI-00669,40,1400000.0,1171037.42,70,1,10,1
CLI-00670,46,5285921.98,2080345.85,11,3,13,1
CLI-00671,60,2179271.79,1730409.22,64,0,47,2
CLI-00672,28,4893400.04,3558685.21,89,2,23,1
CLI-00673,35,5227662.91,1788195.16,96,3,50,1
CLI-00674,64,7647526.39,6444578.18,47,3,87,2
CLI-00675,29,5433745.97,2441117.33,89,2,95,2
CLI-00676,26,6070279.64,2150218.16,87,2,4,2
CLI-00677,27,7244724.04,5477901.23,38,4,116,1
CLI-00678,61,8201054.97,5647833.18,35,4,113,2
CLI-00679,34,5229369.37,3344026.63,44,1,67,1
CLI-00680,55,5707194.77,2201775.67,88,3,85,1
CLI-00681,24,5522051.26,3109869.42,76,2,53,1
CLI-00682,63,4306282.28,3140596.71,96,4,2,1
CLI-00683,30,3807946.51,1778285.0,38,0,68,1
CLI-00684,57,1400000.0,660001.17,43,1,65,2
CLI-00685,59,3131345.94,944813.18,50,4,79,1
CLI-00686,26,1587012.17,628193.17,50,2,57,1
CLI-00687,67,8261436.67,6456090.47,32,3,97,2
CLI-00688,44,5914515.22,3211348.56,80,2,70,2
CLI-00689,19,5222934.26,4394205.93,12,1,7,1
CLI-00690,22,3921532.59,2029939.7,67,2,19,1
CLI-00691,46,5565514.38,3858863.59,41,1,44,1
CLI-00692,54,3634444.27,1653873.76,40,3,63,1
CLI-00693,55,5882840.82,2941981.06,91,1,65,2
CLI-00694,36,6040614.76,2445840.65,52,1,39,1
CLI-00695,25,3604955.85,1769616.24,16,2,83,2
CLI-00696,65,3562983.68,2141284.2,10,4,109,1
CLI-00697,62,7616838.58,6439847.24,70,5,26,2
CLI-00698,18,5383708.1,3581839.91,23,1,44,1
CLI-00699,39,3781755.06,1548951.19,61,2,12,1
CLI-00700,69,4684886.14,1521317.42,15,2,22,1
CLI-00701,34,3276693.01,1210725.17,19,4,77,1
CLI-00702,24,5352196.12,3261657.01,80,1,92,1
CLI-00703,42,7329582.28,5283442.76,99,5,14,2
CLI-00704,62,5439124.53,4445018.81,39,0,86,1
CLI-00705,21,10699993.58,3303117.39,30,3,30,2
CLI-00706,53,6426991.05,3775973.43,69,3,44,1
CLI-00707,23,6005899.79,3357160.12,90,1,84,1
CLI-00708,48,3501735.31,2314052.66,83,0,108,1
CLI-00709,36,4975226.42,3023785.25,72,1,91,1
CLI-00710,61,3786169.55,2566536.56,51,3,38,1
CLI-00711,56,1400000.0,926723.59,60,2,59,0
CLI-00712,44,7643376.89,2784913.66,73,1,42,1
CLI-00713,27,4374808.78,3236679.76,85,5,52,1
CLI-00714,43,3827119.84,1407530.16,65,1,63,1
CLI-00715,36,5963254.07,4080009.8,89,0,61,2
CLI-00716,56,6627499.01,3505151.36,50,3,105,1
CLI-00717,20,4794295.37,2793242.32,41,2,34,1
CLI-00718,62,5494276.33,4377915.79,24,2,39,1
CLI-00719,30,7141612.3,5637846.2,71,4,41,1
CLI-00720,67,4707574.09,3529837.76,36,3,108,1
CLI-00721,45,6165134.23,3579363.55,37,2,37,1
CLI-00722,37,1849661.84,1303885.63,90,1,65,2
CLI-00723,45,2769098.2,1611873.73,73,3,118,1
CLI-00724,25,6832187.51,5317377.75,68,4,79,1
CLI-00725,58,2654170.99,1384221.06,67,0,32,1
CLI-00726,56,6015102.6,5014366.61,11,2,8,1
CLI-00727,18,5176602.68,4207426.27,45,1,97,2
CLI-00728,20,4698172.02,3325748.78,80,3,18,1
CLI-00729,30,3677381.91,1668349.98,22,5,45,2
CLI-00730,45,7500548.04,2793275.15,24,4,93,2
CLI-00731,66,9305760.54,7166244.26,98,1,96,2
CLI-00732,42,6160422.76,2408209.41,96,3,33,1
CLI-00733,50,6209479.57,4780327.08,69,3,5,1
CLI-00734,55,3998872.61,2279040.49,31,2,82,1
CLI-00735,23,2868586.09,1502009.55,72,3,112,2
CLI-00736,61,5412574.41,4312495.34,99,1,74,2
CLI-00737,62,3357750.77,2122494.84,84,4,36,2
CLI-00738,49,1600257.72,987579.38,83,0,97,2
CLI-00739,62,7267580.79,4413756.39,34,2,23,1
CLI-00740,64,7374766.93,3717938.85,57,2,40,1
CLI-00741,38,3610554.7,2643300.48,52,1,5,1
CLI-00742,33,6036721.51,2650357.05,47,4,34,1
CLI-00743,38,7704294.99,6289726.55,50,2,24,1
CLI-00744,28,5951058.71,4711404.76,54,4,17,1
CLI-00745,54,2875059.78,1396169.79,97,2,95,2
CLI-00746,53,4987634.49,3497354.61,49,5,71,2
CLI-00747,52,8418980.72,5179969.48,26,2,81,2
CLI-00748,36,6043458.62,2935350.86,97,1,92,2
CLI-00749,37,6686090.63,5640967.12,66,1,102,1
CLI-00750,35,6251584.28,1962250.65,11,2,22,1
CLI-00751,64,3617875.01,1588085.47,71,2,15,1
CLI-00752,58,4134140.52,2422774.74,97,4,101,1
CLI-00753,66,6245503.35,3666573.58,18,1,15,1
CLI-00754,31,7297117.92,4552768.13,77,3,114,1
CLI-00755,32,7919790.89,5650152.22,90,4,114,2
CLI-00756,48,3612167.8,2322308.94,26,5,25,1
CLI-00757,18,6452865.18,4066303.99,59,2,53,1
CLI-00758,20,8111497.05,2672194.44,49,4,21,0
CLI-00759,33,3328420.11,1687814.07,67,2,119,1
CLI-00760,40,8770843.7,3750681.65,84,2,102,2
CLI-00761,28,9105669.82,4060705.88,94,3,66,2
CLI-00762,29,11275189.95,6820200.16,30,2,91,2
CLI-00763,27,6008053.57,2461667.31,27,1,113,1
CLI-00764,49,6020134.29,2779327.47,64,2,32,1
CLI-00765,33,7319387.66,3150239.49,38,4,21,1
CLI-00766,25,7255165.88,5961400.17,33,1,68,1
CLI-00767,55,7978007.09,6538504.58,83,3,44,2
CLI-00768,29,7224873.0,4591174.56,26,3,83,1
CLI-00769,41,5266663.8,4258031.1,27,2,66,1
CLI-00770,45,8188393.67,5995516.91,51,3,90,2
CLI-00771,25,3143240.87,1962863.82,93,4,98,2
CLI-00772,45,5512875.14,1673374.63,54,2,14,1
CLI-00773,53,8940218.36,6480620.86,91,1,15,2
CLI-00774,43,2749457.7,1887141.4,26,1,20,0
CLI-00775,25,4009553.55,2559656.92,82,3,34,1
CLI-00776,67,6977844.04,5011720.45,23,7,36,0
CLI-00777,45,6366606.34,3706047.33,58,2,83,1
CLI-00778,45,3574944.1,2456865.32,38,3,9,1
CLI-00779,54,4584373.19,3733259.77,13,3,71,1
CLI-00780,58,2902279.46,1470563.99,91,5,30,2
CLI-00781,53,7657067.0,5279295.08,29,3,77,2
CLI-00782,44,4937061.01,2772793.18,56,2,91,1
CLI-00783,34,9442743.0,6335323.33,18,1,63,2
CLI-00784,26,5678420.54,4086142.21,86,2,108,2
CLI-00785,50,5016571.33,1630380.04,88,3,35,1
CLI-00786,37,4802992.13,3148986.9,36,5,13,1
CLI-00787,30,4962760.36,2107722.3,24,3,79,1
CLI-00788,45,5743806.41,3839837.38,28,2,46,1
CLI-00789,65,11027296.67,6148617.75,99,2,56,2
CLI-00790,46,4754508.73,3449177.41,61,3,9,1
CLI-00791,30,4826022.39,1775351.02,35,2,109,2
CLI-00792,63,5644306.46,3637627.35,98,4,87,1
CLI-00793,52,7898603.91,3579322.67,35,3,118,2
CLI-00794,23,2373833.97,1825810.89,35,2,36,0
CLI-00795,35,6501204.02,5269947.02,55,1,117,1
CLI-00796,68,3701664.61,3139082.15,58,2,104,1
CLI-00797,22,6717199.92,4955977.45,91,4,3,1
CLI-00798,64,4413728.13,3153845.94,62,1,98,1
CLI-00799,42,1400000.0,585935.58,12,1,19,2
CLI-00800,19,6313070.73,3060601.2,75,1,28,1
CLI-00801,27,6294518.49,3500541.6,51,1,23,2
CLI-00802,47,4226023.32,3065386.48,28,2,104,1
CLI-00803,67,4095643.51,3289748.76,26,3,113,1
CLI-00804,62,2614980.0,1056521.23,42,3,109,1
CLI-00805,22,7200819.87,5813237.12,85,2,7,1
CLI-00806,50,7440874.72,5079093.16,58,2,105,1
CLI-00807,18,3566088.05,2267760.63,65,1,76,1
CLI-00808,35,4312144.19,1767602.66,72,3,14,1
CLI-00809,49,5360763.93,1771940.31,12,1,46,1
CLI-00810,64,10495903.62,6430375.12,58,1,15,2
CLI-00811,66,6699267.84,4410353.29,64,2,67,1
CLI-00812,28,3424485.87,1424345.71,35,3,15,0
CLI-00813,38,6168316.68,3738313.96,81,2,51,2
CLI-00814,43,2471278.61,1905532.19,61,2,88,2
CLI-00815,42,7079578.68,5375426.89,16,3,116,1
CLI-00816,39,9186204.27,7441242.05,55,1,110,1
CLI-00817,44,9195541.71,4609147.54,55,2,8,2
CLI-00818,66,7116765.71,3379946.07,25,2,69,1
CLI-00819,30,4216492.82,3002920.0,33,4,62,1
CLI-00820,50,2638016.14,1416909.66,70,2,51,2
CLI-00821,51,2419548.9,842370.22,63,3,63,1
CLI-00822,58,1400000.0,637756.87,71,5,68,0
CLI-00823,52,7026482.68,3725583.45,10,3,78,1
CLI-00824,18,5273761.86,2430592.64,58,3,16,1
CLI-00825,38,7500275.57,3620481.0,34,2,84,2
CLI-00826,65,8641669.27,3988793.6,19,1,24,2
CLI-00827,23,5719792.2,1846489.3,89,4,6,1
CLI-00828,45,5821115.54,3786065.69,25,1,119,1
CLI-00829,34,4478495.24,2814782.77,67,4,57,1
CLI-00830,22,4738614.28,3124457.09,81,1,31,1
CLI-00831,48,7102633.81,2882038.87,38,4,6,1
CLI-00832,22,5116374.93,2366886.2,15,2,99,1
CLI-00833,55,4798183.13,3074621.82,25,0,79,1
CLI-00834,20,5459702.91,3438494.48,29,3,29,1
CLI-00835,40,7449926.43,4309645.88,89,3,67,1
CLI-00836,54,3976144.57,1959154.93,80,1,75,2
CLI-00837,54,5353637.26,4294216.97,87,4,3,1
CLI-00838,27,6039611.24,2940527.47,52,0,28,1
CLI-00839,27,8052488.19,4433623.79,35,1,74,2
CLI-00840,36,4973547.09,3347011.22,99,2,114,2
CLI-00841,34,3920788.55,2347226.28,87,2,97,1
CLI-00842,38,4434405.92,2176350.05,80,2,48,1
CLI-00843,31,7816726.35,4217941.77,42,4,80,2
CLI-00844,26,9973271.66,7349946.66,35,2,10,2
CLI-00845,63,2609732.81,1182133.37,54,0,33,1
CLI-00846,18,3090336.45,1168890.04,93,3,100,2
CLI-00847,68,5128647.07,2421951.07,72,4,67,1
CLI-00848,62,5744103.41,4407127.83,76,4,69,1
CLI-00849,30,7231333.04,2523332.76,61,3,12,1
CLI-00850,21,3539507.38,2992415.78,77,4,57,2
CLI-00851,18,3161160.12,1888956.27,35,3,44,0
CLI-00852,66,5803791.74,4884849.3,84,3,13,1
CLI-00853,57,4931518.42,4026328.51,11,2,24,1
CLI-00854,49,7538786.2,4139152.04,23,2,44,2
CLI-00855,51,6572191.57,2689144.22,39,2,57,1
CLI-00856,45,6721834.56,2626130.87,58,4,96,1
CLI-00857,48,5270141.04,2276670.1,21,1,16,0
CLI-00858,25,10682276.57,7376891.27,99,3,96,2
CLI-00859,56,3656954.44,1646077.46,53,1,109,1
CLI-00860,43,6843781.63,3338286.48,42,3,101,2
CLI-00861,51,2706682.03,1480090.45,22,3,100,2
CLI-00862,20,3138371.11,2517846.02,87,3,21,2
CLI-00863,67,4163839.68,1682884.01,97,1,111,2
CLI-00864,29,9084511.34,2750468.48,35,8,76,0
CLI-00865,18,6080567.75,2025151.49,30,4,51,1
CLI-00866,61,4200948.25,3350766.59,37,0,21,1
CLI-00867,22,6323759.92,4149234.24,57,2,60,1
CLI-00868,47,5577325.34,2510757.6,49,3,51,1
CLI-00869,47,4417658.59,1755824.36,75,1,21,1
CLI-00870,34,2427416.52,1121094.32,82,3,107,2
CLI-00871,65,8664793.47,3146518.46,96,2,117,2
CLI-00872,64,5961599.88,4875653.33,88,0,6,1
CLI-00873,40,10282224.42,7519528.46,86,1,73,2
CLI-00874,32,7568707.57,4195449.25,32,2,65,2
CLI-00875,54,6712903.39,5207396.74,90,1,76,1
CLI-00876,38,4542550.48,1986012.21,57,1,58,1
CLI-00877,31,3090239.76,2145912.9,11,4,78,2
CLI-00878,19,5020991.83,3870546.4,93,2,6,1
CLI-00879,28,3026556.29,1501846.21,29,2,65,2
CLI-00880,68,6930418.84,4966375.88,68,2,86,1
CLI-00881,56,9091835.49,4203062.74,55,2,34,2
CLI-00882,55,4925993.01,2287490.39,12,1,56,1
CLI-00883,51,7577880.14,2719560.6,64,3,75,2
CLI-00884,55,3983696.05,2159290.44,21,3,3,1
CLI-00885,67,4834572.96,3390686.89,49,5,42,2
CLI-00886,51,3707079.23,3029133.93,75,2,62,1
CLI-00887,35,1400000.0,884923.68,87,0,6,2
CLI-00888,47,5419626.63,4198717.78,25,1,6,1
CLI-00889,32,5782593.82,4350662.01,92,1,63,1
CLI-00890,44,7844894.2,3101390.11,43,2,20,1
CLI-00891,68,7249964.16,4112176.67,53,3,21,1
CLI-00892,51,7279696.38,2652051.23,15,5,2,1
CLI-00893,69,3357120.31,2266674.72,86,2,90,2
CLI-00894,55,6510894.07,5354851.09,73,2,95,1
CLI-00895,50,8981706.72,3371725.53,31,5,90,2
CLI-00896,41,6335709.27,4458031.37,27,2,56,1
CLI-00897,32,9522905.95,6168281.23,21,2,96,2
CLI-00898,47,9941725.44,6173640.21,61,1,10,2
CLI-00899,59,4909369.81,2526195.42,60,3,87,1
CLI-00900,68,3966732.56,1964811.52,80,4,70,1
CLI-00901,34,3824783.24,1242622.56,57,5,23,1
CLI-00902,22,2164501.2,908765.37,28,1,92,0
CLI-00903,46,4359513.62,1344244.19,15,1,113,1
CLI-00904,21,8156863.99,5055456.34,93,5,30,2
CLI-00905,27,1400000.0,501506.99,36,3,78,0
CLI-00906,34,3217602.52,2510246.93,62,2,37,1
CLI-00907,27,5220310.83,3068126.3,57,5,55,1
CLI-00908,34,3570192.56,2444973.01,16,3,96,1
CLI-00909,37,4339970.92,2282700.58,68,2,49,1
CLI-00910,41,4372874.72,2660102.32,78,3,34,1
CLI-00911,22,4933411.52,4037812.56,20,0,105,2
CLI-00912,51,3895199.67,1345805.98,24,3,44,2
CLI-00913,23,3715330.93,1633503.85,73,7,115,2
CLI-00914,19,7555481.44,5507897.46,12,2,22,2
CLI-00915,30,7809239.19,2766856.11,78,1,31,2
CLI-00916,60,2462804.64,841327.58,32,1,7,2
CLI-00917,60,1400000.0,698386.88,62,2,105,2
CLI-00918,65,7839424.67,2749226.47,46,0,21,2
CLI-00919,28,2796639.08,1738931.0,18,3,16,0
CLI-00920,68,5968038.64,2533142.28,24,4,20,1
CLI-00921,64,2055521.88,1629276.28,12,2,43,0
CLI-00922,40,8355060.97,6106923.31,79,4,44,2
CLI-00923,33,11096069.37,7599008.44,26,3,47,2
CLI-00924,48,5902175.2,3773374.02,35,3,114,1
CLI-00925,28,5292974.17,4101558.25,30,2,19,1
CLI-00926,33,4791292.93,2025203.5,81,5,48,1
CLI-00927,25,7219958.48,5633082.82,30,3,96,0
CLI-00928,21,6748910.85,4955190.48,20,0,79,2
CLI-00929,57,7707696.6,5483937.14,47,2,69,2
CLI-00930,21,4118583.65,2506943.25,81,2,11,1
CLI-00931,42,6248258.95,2720706.19,97,3,79,1
CLI-00932,20,4306570.25,2295192.44,44,3,29,2
CLI-00933,49,3173025.57,2336818.66,23,3,114,0
CLI-00934,20,5409766.07,1717482.61,23,4,45,2
CLI-00935,44,3470471.99,2533888.51,19,1,68,0
CLI-00936,46,8082199.4,3491824.6,21,3,113,2
CLI-00937,49,3603775.17,1367164.4,47,2,36,1
CLI-00938,67,6299801.07,2290832.73,43,2,48,1
CLI-00939,68,4172470.94,1314276.22,50,3,87,1
CLI-00940,36,6109538.05,3592240.77,19,2,15,1
CLI-00941,38,4347207.54,1826013.79,26,1,110,1
CLI-00942,22,2734135.2,2308122.68,26,4,44,0
CLI-00943,35,6564300.03,4043216.38,76,3,67,1
CLI-00944,45,4982085.63,1872451.61,71,2,96,1
CLI-00945,59,6129166.87,4160597.36,10,1,74,1
CLI-00946,39,4556545.54,3616798.86,21,2,40,1
CLI-00947,38,2578539.67,1830373.09,13,0,102,0
CLI-00948,23,7882992.91,2696314.06,51,3,86,2
CLI-00949,18,7120867.06,5644969.8,22,2,14,1
CLI-00950,22,4252685.85,3132788.5,94,1,63,1
CLI-00951,58,5653514.27,2188289.63,95,2,81,1
CLI-00952,29,7792442.86,2559679.08,13,0,85,2
CLI-00953,43,4494515.66,2726017.31,91,5,51,1
CLI-00954,63,4835854.09,1865767.76,78,3,112,1
CLI-00955,51,6035991.5,4581468.59,28,3,79,1
CLI-00956,66,4489999.66,2231907.27,11,0,58,1
CLI-00957,31,7385602.39,5923924.06,21,4,15,0
CLI-00958,43,5128418.28,3134122.54,90,6,65,2
CLI-00959,62,3775121.08,1511822.03,83,2,88,2
CLI-00960,44,6839005.43,2576796.21,15,3,55,1
