temperatura_c,presion_bar,flujo_l_min,rpm_motor,concentracion_reactivo,eficiencia_proceso
66.14,7.04,40.52,2714.0,0.148,65.01
171.96,4.53,43.1,2674.7,0.136,32.01
175.61,10.05,14.55,1651.3,0.896,20.0
176.59,4.55,20.41,3464.8,0.631,21.39
55.09,11.91,39.5,2183.0,0.141,82.29
173.01,10.07,62.48,1261.2,0.925,20.0
179.66,8.93,13.6,1727.5,0.182,20.0
172.52,2.14,35.09,2861.0,0.74,45.45
137.22,11.0,62.13,1683.9,0.081,35.88
141.16,9.8,69.4,1329.4,0.612,27.53
65.89,3.9,24.27,2682.5,0.542,84.87
163.66,5.62,64.86,2444.1,0.237,34.09
57.75,4.32,81.66,3027.0,0.629,87.86
91.3,11.84,78.01,3054.3,0.605,79.77
178.85,10.47,69.2,3503.8,0.769,29.56
104.9,11.27,63.42,1336.8,0.838,58.61
67.05,9.78,27.64,1293.6,0.509,64.8
176.01,6.29,57.54,3569.3,0.491,25.74
177.94,3.66,58.25,2747.6,0.609,37.59
74.32,3.68,40.51,2916.9,0.706,76.84
162.42,3.09,46.98,1431.6,0.371,36.64
100.76,7.24,62.05,1367.6,0.504,55.89
99.58,11.16,81.41,1584.6,0.577,71.8
84.15,11.91,32.15,2225.3,0.94,66.85
55.81,4.52,28.48,1464.4,0.579,82.23
84.84,8.82,55.14,2271.2,0.252,65.53
56.99,7.77,19.81,2547.7,0.579,63.25
170.17,6.63,53.69,1200.8,0.788,20.0
136.02,8.49,16.66,1474.2,0.822,20.0
165.26,5.4,46.79,2100.5,0.77,29.02
143.25,11.42,56.53,1328.0,0.849,31.7
67.07,8.91,15.26,1520.5,0.351,62.16
172.28,9.42,25.52,1756.3,0.507,20.0
166.99,4.05,35.15,2231.0,0.752,31.66
95.25,3.27,37.64,2915.6,0.288,73.26
64.5,5.64,60.71,1518.5,0.384,78.54
141.54,9.55,49.68,2971.1,0.798,24.0
144.69,11.36,38.66,3252.1,0.743,30.78
166.59,5.99,43.8,2763.5,0.924,20.0
56.85,9.63,10.97,1304.9,0.946,53.79
68.42,6.44,67.79,2257.6,0.267,72.19
127.77,4.6,13.08,2784.2,0.86,34.37
130.49,9.26,72.2,3548.4,0.135,27.15
54.37,9.88,50.57,3484.3,0.689,67.56
101.6,3.63,49.59,2149.7,0.248,67.44
125.94,4.7,62.84,2678.2,0.32,45.65
145.93,6.7,74.47,3338.0,0.902,24.6
91.1,3.46,80.7,3194.5,0.287,78.54
112.91,11.25,50.75,2350.6,0.656,53.67
155.83,7.71,21.3,1827.0,0.21,20.0
174.01,2.77,75.9,1529.0,0.134,37.06
79.94,3.43,13.05,2371.2,0.355,78.47
82.9,11.52,70.55,2934.8,0.612,81.57
172.18,9.25,61.03,3527.4,0.273,20.0
101.47,9.21,77.85,3268.4,0.32,54.22
143.39,2.26,77.31,1690.2,0.688,57.57
129.59,10.9,13.99,2927.5,0.143,36.91
87.13,6.16,55.71,1893.8,0.452,65.05
134.96,8.43,19.35,2840.3,0.898,20.0
135.22,11.58,15.89,2797.9,0.407,39.7
127.02,2.55,43.62,1853.8,0.441,55.15
62.96,6.56,17.32,1762.5,0.714,65.32
179.37,2.02,64.59,1449.5,0.751,47.86
102.05,6.75,82.67,1321.3,0.743,53.59
132.97,4.15,52.72,3260.3,0.948,37.12
165.15,11.07,27.64,1319.6,0.114,20.0
105.03,5.68,73.24,1413.0,0.934,47.72
150.61,8.16,73.98,1773.2,0.905,20.88
176.34,10.53,64.96,3330.4,0.817,27.85
96.66,11.83,56.13,1999.1,0.459,71.29
102.69,6.79,75.08,1660.3,0.834,59.88
167.72,6.29,22.25,2917.3,0.249,20.0
70.75,2.3,79.87,1965.8,0.762,92.73
53.72,1.63,81.04,2000.1,0.217,95.36
168.16,7.89,75.4,2973.5,0.784,25.68
156.81,2.19,28.8,1804.0,0.603,41.8
176.44,5.49,74.36,3352.2,0.138,30.05
57.57,1.54,47.32,2547.4,0.856,93.63
70.3,7.96,54.62,2490.8,0.57,70.59
63.69,5.97,73.05,1835.4,0.641,78.92
138.84,2.83,12.22,3204.2,0.305,38.17
128.78,4.61,37.22,2574.6,0.834,38.98
96.71,7.48,71.18,1573.2,0.541,59.48
57.47,8.4,71.05,1695.1,0.429,72.28
133.16,6.35,73.65,2323.8,0.531,40.75
124.12,9.94,22.69,3071.1,0.683,38.45
64.68,2.68,62.94,3454.3,0.676,93.96
168.16,2.39,20.99,2792.4,0.372,34.69
75.86,1.96,68.88,2414.7,0.397,96.01
146.66,7.13,28.38,1801.8,0.556,20.98
165.06,8.92,65.34,2814.9,0.882,24.86
125.33,2.87,44.13,3557.4,0.721,49.21
82.09,8.21,83.97,2342.9,0.401,75.2
90.2,6.51,53.49,1589.1,0.353,58.09
165.15,11.87,57.44,1448.0,0.521,35.79
88.77,9.03,37.61,1846.2,0.833,56.91
147.0,8.4,65.09,2566.7,0.058,26.37
178.72,7.49,47.12,3472.3,0.689,20.0
179.98,11.97,11.35,1918.0,0.315,32.73
119.35,11.79,55.64,1932.9,0.238,56.05
157.45,7.15,72.28,2354.8,0.061,20.0
178.73,6.28,27.76,3404.5,0.857,20.0
98.71,6.35,26.58,2205.7,0.871,46.51
82.81,6.0,55.67,1735.8,0.105,61.57
64.85,7.08,71.35,1591.5,0.52,72.78
68.32,4.37,28.72,2296.8,0.187,70.16
160.96,11.23,79.92,3121.6,0.733,35.8
126.53,6.65,79.55,1899.2,0.649,39.84
163.58,10.34,25.04,2430.1,0.317,20.71
152.63,6.49,29.78,2647.2,0.155,20.0
137.59,9.04,62.54,2281.1,0.798,30.21
129.21,5.04,81.38,1660.1,0.657,46.64
56.28,8.06,63.24,3412.2,0.056,62.53
163.4,6.73,43.37,2557.1,0.615,21.72
104.32,5.35,22.68,2949.9,0.779,55.23
122.77,10.76,44.58,2726.5,0.582,47.31
52.85,2.68,55.51,3595.3,0.432,86.32
171.69,6.61,34.82,2295.1,0.576,24.61
167.36,3.54,48.27,2219.9,0.608,42.88
120.63,10.54,19.77,2064.3,0.626,42.27
125.05,4.16,43.91,2067.9,0.92,41.62
141.65,8.15,16.81,1861.8,0.211,20.0
84.41,3.24,13.68,3553.5,0.611,67.52
78.85,5.75,74.29,3289.9,0.219,73.82
137.62,10.94,25.38,1960.0,0.239,31.26
63.57,3.24,53.14,1932.5,0.652,88.94
109.03,8.46,21.17,1448.5,0.874,35.42
114.06,3.65,29.69,3304.9,0.193,53.79
99.57,5.87,37.1,2092.2,0.916,56.98
74.08,7.18,20.78,2574.3,0.337,62.69
96.19,7.56,13.45,3360.9,0.402,43.94
93.88,7.83,75.79,2179.4,0.188,58.53
114.9,8.22,10.89,3136.5,0.604,29.57
137.71,4.35,14.6,2232.7,0.587,32.18
175.87,5.71,70.38,2882.3,0.448,32.3
68.74,1.89,31.15,2234.8,0.478,95.21
163.49,9.57,64.21,2142.6,0.611,25.81
86.94,10.29,20.97,3577.7,0.575,58.41
126.88,3.59,27.8,2669.6,0.387,45.54
121.08,3.62,52.96,2081.7,0.846,51.21
122.4,1.94,84.15,1818.8,0.651,66.28
144.04,11.69,15.51,1295.4,0.235,29.5
99.62,9.98,40.04,2895.8,0.338,59.87
91.48,5.29,13.23,2093.2,0.759,55.66
160.87,6.56,24.94,3171.0,0.144,20.0
78.61,4.57,78.06,2073.3,0.725,83.34
73.43,7.77,17.23,2096.0,0.373,65.93
52.03,9.03,74.26,3070.0,0.547,80.62
77.38,6.2,23.34,2374.7,0.303,63.26
117.41,10.67,74.63,3323.7,0.938,45.23
120.01,6.93,50.35,2616.3,0.865,34.19
83.07,3.01,75.87,1777.5,0.886,83.01
59.4,8.03,21.38,2563.9,0.216,64.31
146.8,6.35,67.15,1209.6,0.808,20.0
148.54,11.32,61.05,1949.8,0.532,37.27
179.72,5.61,50.72,1699.1,0.687,27.52
167.0,5.73,70.79,2770.1,0.246,25.37
170.39,8.33,58.62,1526.5,0.691,21.07
153.77,7.03,75.78,1896.2,0.873,26.83
130.02,5.43,38.58,1995.1,0.291,37.46
66.71,11.89,54.24,1207.9,0.26,77.55
130.9,4.67,75.3,1312.2,0.144,42.28
57.27,4.41,26.11,1946.7,0.29,80.88
165.09,10.58,46.43,1733.7,0.532,28.38
112.64,1.54,82.06,1480.6,0.799,72.71
140.67,3.61,45.52,1570.0,0.301,38.07
56.79,7.7,28.96,3205.3,0.609,63.67
119.45,3.21,36.33,2840.0,0.482,59.04
89.16,11.85,76.38,2361.9,0.31,85.72
87.05,6.37,81.62,3381.3,0.509,65.74
100.66,7.77,81.26,1270.9,0.201,50.84
50.08,3.18,62.42,2027.8,0.626,91.35
110.67,4.54,48.22,3176.1,0.154,50.33
113.25,7.95,23.7,2707.9,0.708,34.98
162.21,7.27,19.24,3556.0,0.21,20.0
108.31,9.74,14.48,3466.8,0.948,30.73
97.26,4.33,11.33,1607.9,0.791,54.19
179.32,8.36,75.86,3532.8,0.359,22.9
124.26,4.56,70.68,3469.3,0.434,43.84
111.44,7.66,52.59,2096.7,0.283,43.2
114.47,7.85,84.9,3558.9,0.74,40.0
155.19,2.78,81.48,1286.0,0.393,47.6
94.29,7.26,59.13,2785.8,0.73,61.8
100.59,1.63,44.84,1838.8,0.067,70.83
148.26,6.76,21.41,1510.7,0.172,20.7
59.49,8.82,48.67,2586.1,0.378,70.19
162.47,2.26,21.83,1935.2,0.148,35.33
105.93,11.36,39.88,2800.4,0.591,61.0
125.57,6.32,80.7,2496.0,0.096,42.12
148.47,11.35,35.65,2142.2,0.824,30.52
84.59,2.63,21.46,1636.4,0.735,78.98
165.74,11.47,53.68,2643.0,0.245,37.15
177.3,2.65,55.18,3190.2,0.485,44.28
114.26,6.35,24.54,2640.0,0.457,41.27
171.8,11.35,24.74,2665.3,0.702,27.24
50.15,3.94,84.22,2428.4,0.411,91.17
166.25,1.87,28.25,2131.8,0.08,36.52
90.44,9.83,72.86,2297.9,0.296,69.81
90.49,7.76,45.27,3574.9,0.47,52.83
79.65,6.9,42.62,2999.2,0.927,58.28
91.21,1.86,32.12,2233.3,0.843,77.62
77.75,8.36,68.04,2297.5,0.213,67.41
167.76,3.3,76.05,2399.1,0.701,45.18
166.87,11.28,29.58,2782.4,0.893,24.78
63.29,8.7,17.13,2318.3,0.058,60.18
68.57,8.92,20.27,2846.8,0.699,62.75
162.06,3.94,69.46,1990.1,0.463,38.83
101.86,10.75,42.69,2185.5,0.662,59.75
72.01,7.15,19.89,3273.7,0.595,61.71
116.39,10.5,35.52,1989.4,0.936,39.86
104.17,4.34,48.57,3514.6,0.31,50.57
78.49,9.43,73.9,1614.0,0.758,66.24
143.7,7.53,58.13,1780.0,0.261,27.76
132.07,2.01,23.2,2312.8,0.442,55.14
62.96,5.76,21.9,3113.8,0.928,64.79
170.3,3.43,40.93,2955.8,0.74,36.95
122.6,5.27,15.64,1618.7,0.334,37.78
82.53,5.53,66.67,1768.0,0.607,71.33
76.82,6.49,40.11,2580.6,0.095,63.25
67.67,7.8,35.73,1908.4,0.29,63.56
105.2,7.5,48.18,2213.6,0.697,48.9
67.62,1.91,63.17,2367.8,0.563,98.5
104.06,9.38,52.7,2626.2,0.473,52.61
69.34,11.47,70.18,1802.5,0.672,82.0
135.38,5.16,57.2,1591.5,0.409,36.22
152.08,3.39,69.1,2156.6,0.074,39.45
121.44,7.17,62.26,1396.9,0.447,38.0
138.41,8.9,24.48,2464.2,0.862,23.57
171.99,8.63,13.93,3215.1,0.821,20.0
132.99,7.93,77.75,1485.5,0.418,38.65
97.34,3.04,80.92,1470.6,0.07,75.95
108.43,10.29,64.52,1392.5,0.623,50.61
161.87,5.97,64.32,3234.9,0.717,24.43
66.99,3.83,30.26,1393.7,0.315,77.93
92.35,2.41,50.68,3560.3,0.479,74.45
125.05,5.88,84.42,2060.0,0.943,36.77
137.93,7.99,74.21,1989.0,0.569,38.28
149.25,8.49,32.83,1419.9,0.366,20.0
91.37,11.61,32.58,2605.5,0.615,72.17
68.96,3.11,46.27,2606.1,0.212,88.66
174.13,11.85,40.34,2385.1,0.229,32.61
59.93,8.37,37.84,1946.4,0.882,69.62
62.45,6.27,57.02,2084.6,0.265,74.26
114.34,10.83,10.86,1969.2,0.33,44.5
156.51,8.79,67.25,2222.8,0.539,23.67
150.69,5.16,65.5,2020.3,0.86,25.65
171.9,10.78,72.27,2821.2,0.753,33.2
68.41,8.5,73.11,1909.9,0.089,72.79
98.84,8.84,52.48,2042.0,0.674,50.75
86.68,10.91,68.51,2245.1,0.504,76.76
161.91,6.21,46.93,1209.5,0.478,20.0
113.49,8.4,81.36,2381.0,0.672,53.82
53.49,9.32,24.3,1814.0,0.227,68.42
142.04,6.27,78.67,1334.8,0.933,25.36
100.53,2.38,29.39,3386.5,0.631,68.14
119.05,9.6,17.7,1973.8,0.379,34.98
166.19,2.0,42.93,2222.6,0.59,43.28
83.38,9.04,56.12,3185.6,0.245,60.98
81.23,11.06,27.32,1600.3,0.62,65.61
84.22,5.14,51.68,3240.7,0.075,63.39
93.95,2.57,70.59,1779.9,0.357,82.77
63.96,3.95,29.28,2613.7,0.723,80.03
140.64,7.4,53.52,2845.6,0.777,26.21
76.96,11.4,35.45,3372.0,0.278,70.17
170.4,6.88,49.73,2658.3,0.535,25.61
78.04,2.68,60.02,2287.8,0.526,91.92
83.23,8.09,36.28,2573.4,0.429,60.6
88.61,9.19,84.59,1685.0,0.256,63.58
149.91,5.63,52.28,2853.8,0.683,28.54
105.59,9.08,71.83,1648.5,0.277,55.27
156.51,4.91,64.39,2537.4,0.87,32.62
152.03,9.79,73.96,2754.2,0.526,34.48
170.83,5.08,23.04,3356.6,0.833,20.0
148.36,4.19,26.69,2280.5,0.312,35.92
56.75,10.73,46.56,3060.8,0.776,78.35
158.85,7.26,73.92,1602.1,0.152,21.65
171.95,4.49,24.82,1574.9,0.74,23.44
179.18,11.32,82.83,2459.5,0.398,45.21
66.28,8.75,19.57,2631.2,0.473,59.75
129.73,3.82,23.13,2717.6,0.2,44.37
75.93,7.95,22.54,2989.6,0.067,57.03
84.13,10.64,53.95,1907.8,0.65,75.71
146.93,8.81,78.82,2694.3,0.579,29.16
177.1,4.07,29.13,1651.5,0.61,33.7
127.33,8.31,51.48,1725.6,0.28,34.07
160.58,8.0,23.18,1361.5,0.265,20.0
51.15,10.12,57.34,2992.8,0.797,74.82
54.76,3.37,19.24,2416.8,0.735,82.48
127.57,8.85,46.85,1771.6,0.353,32.44
100.57,1.79,59.14,2535.0,0.624,78.36
165.67,8.81,53.43,2050.2,0.795,23.98
89.26,11.58,20.5,3209.3,0.85,60.05
106.17,3.33,22.1,2467.6,0.055,54.58
118.63,4.77,60.35,1271.5,0.782,47.73
85.5,7.62,70.67,3564.2,0.365,56.96
168.1,9.19,78.11,1378.3,0.697,23.18
110.39,5.12,71.02,2870.3,0.384,55.53
105.14,8.47,83.04,2249.4,0.596,61.7
160.47,10.94,40.62,1798.4,0.632,31.42
90.56,9.13,34.84,2823.5,0.414,56.36
156.27,8.97,12.11,1502.2,0.512,20.0
65.9,5.51,43.74,3259.8,0.704,73.14
73.76,11.07,58.85,1801.5,0.479,80.83
173.61,4.41,71.16,2067.5,0.063,32.43
159.52,3.66,30.06,2718.3,0.062,28.05
100.43,5.32,48.52,1202.5,0.645,52.58
133.0,8.33,59.65,2334.6,0.813,33.7
172.59,10.55,51.37,3346.2,0.757,28.74
77.54,2.89,30.55,2833.0,0.329,87.4
57.67,10.04,69.72,2131.0,0.474,79.55
119.87,10.03,23.0,2785.0,0.261,38.15
68.54,7.66,77.87,3447.8,0.94,68.32
74.35,9.49,81.44,1650.7,0.284,71.77
165.9,3.41,37.42,2476.3,0.425,36.17
50.96,3.28,38.21,1763.4,0.663,87.98
156.19,10.56,65.75,3250.1,0.838,26.16
117.2,6.73,44.22,2930.5,0.096,32.71
122.71,4.08,12.15,3122.6,0.321,39.45
137.33,8.73,78.99,3463.2,0.562,33.3
106.09,10.86,42.31,1757.5,0.606,56.56
65.03,8.14,25.26,1316.9,0.113,52.36
63.37,5.15,51.67,1898.2,0.648,76.65
148.07,6.57,26.42,2157.9,0.525,26.8
78.73,9.4,25.45,2700.4,0.795,61.59
53.65,2.21,50.93,3114.5,0.25,92.15
177.35,3.78,39.33,2039.5,0.226,34.91
177.45,6.36,52.97,2336.4,0.764,25.69
99.16,7.84,84.76,3085.1,0.683,57.71
53.32,5.06,74.43,1740.8,0.763,84.89
144.54,4.63,10.58,1721.1,0.754,24.14
158.03,1.93,13.79,2614.2,0.144,39.92
66.25,1.84,55.76,2246.5,0.301,98.5
67.61,4.43,56.97,3477.4,0.284,78.05
156.89,7.07,75.86,2056.9,0.891,21.26
169.85,7.34,57.18,3022.9,0.489,23.02
152.8,6.69,27.08,2599.4,0.15,20.0
76.1,5.8,45.14,1331.0,0.311,67.34
103.5,4.15,70.67,1402.5,0.835,62.07
128.11,5.71,79.21,1687.6,0.812,40.38
70.84,2.96,27.77,1543.6,0.86,76.12
77.38,2.71,50.47,1990.5,0.4,83.87
86.78,4.65,21.92,2589.6,0.627,65.29
116.24,11.95,47.27,2645.7,0.3,58.64
116.4,4.93,16.76,2610.6,0.213,45.68
155.86,11.33,80.63,1482.3,0.07,31.25
147.89,5.62,57.85,2640.5,0.251,28.07
168.79,6.11,74.07,2183.4,0.594,30.95
158.28,9.87,84.87,3367.3,0.864,27.61
83.0,2.48,23.7,3388.8,0.17,76.62
93.07,3.41,62.06,3043.6,0.876,73.74
115.06,11.73,76.52,2887.5,0.361,67.25
51.86,6.81,53.2,1475.9,0.434,73.1
167.51,1.97,57.98,1403.3,0.378,41.29
55.76,2.0,40.58,3218.0,0.418,88.85
91.92,11.03,60.61,2224.8,0.283,68.09
123.99,10.67,39.67,2283.3,0.679,46.12
117.32,6.31,45.75,3234.7,0.732,34.81
135.08,3.21,17.72,2691.4,0.791,42.0
118.58,10.22,10.59,1630.6,0.357,35.74
79.77,4.91,14.14,1706.4,0.738,61.36
76.14,5.9,24.44,1215.3,0.624,60.45
167.94,8.67,44.25,2905.6,0.912,20.0
84.32,5.21,11.57,2365.5,0.432,66.04
86.53,8.1,21.7,3479.9,0.943,41.64
103.68,10.8,68.61,2913.6,0.716,59.96
68.13,9.87,67.16,1447.6,0.749,70.24
115.95,5.51,69.23,1587.7,0.073,46.12
136.45,4.52,79.12,2404.1,0.498,47.01
152.18,4.5,18.93,3419.7,0.526,27.27
142.49,5.16,22.24,1793.4,0.087,21.85
69.19,6.68,35.02,3181.4,0.331,65.73
109.29,5.87,78.64,1949.5,0.91,55.82
55.02,2.9,68.16,1847.8,0.434,91.05
52.31,3.22,34.31,3363.3,0.218,81.54
107.22,5.1,16.57,1313.4,0.512,45.0
82.88,7.4,56.23,2785.8,0.08,58.46
138.84,7.72,29.26,1303.6,0.514,20.0
144.15,6.61,49.84,3121.8,0.585,26.54
166.4,9.26,80.64,3190.6,0.372,25.47
148.89,9.24,52.95,3344.1,0.736,21.93
56.27,5.99,79.29,1646.6,0.172,73.71
98.31,2.81,39.48,1498.8,0.84,67.01
85.49,7.07,57.5,2408.5,0.91,63.1
100.2,5.51,77.04,1851.9,0.051,60.83
70.81,2.95,54.1,2655.1,0.808,91.28
62.7,11.81,56.12,2433.0,0.505,88.03
117.73,5.38,63.72,1547.6,0.465,47.01
143.65,8.07,76.16,2974.2,0.265,30.81
141.25,6.65,16.61,3129.1,0.453,23.24
108.62,3.0,35.26,3511.3,0.905,55.05
117.9,2.08,39.83,2149.3,0.24,66.36
117.12,8.07,78.23,2010.6,0.211,46.63
139.9,4.09,81.7,1661.4,0.268,43.19
56.23,4.06,19.03,1634.1,0.547,76.38
142.29,11.55,18.93,1970.5,0.887,29.42
125.69,6.35,80.11,3556.4,0.566,34.55
75.75,1.81,32.18,1421.4,0.269,83.13
56.38,5.07,28.14,1822.5,0.446,77.59
64.11,7.64,12.67,1406.3,0.401,62.38
118.21,4.95,30.67,1856.7,0.092,41.07
148.59,1.78,62.01,1421.8,0.51,50.28
93.51,6.17,41.95,2419.9,0.163,56.33
99.29,2.61,48.77,2252.1,0.808,72.73
171.44,8.0,78.8,1617.7,0.544,27.02
77.69,8.01,18.6,1619.5,0.81,54.13
63.49,1.9,15.34,2702.7,0.91,89.43
94.64,4.55,73.89,2129.1,0.899,70.04
146.97,5.84,68.11,1334.9,0.14,25.5
131.39,7.28,29.78,3408.5,0.9,20.0
104.05,4.61,34.32,2171.9,0.766,51.34
175.42,4.52,33.27,2618.5,0.75,30.74
145.55,11.82,58.59,3325.0,0.131,33.6
58.04,1.94,14.59,2165.2,0.212,90.72
146.8,11.88,46.71,3169.6,0.928,30.02
53.13,2.0,20.04,3395.4,0.242,83.64
134.54,4.53,71.48,1617.8,0.202,44.15
77.36,6.68,38.55,3342.0,0.376,63.08
140.54,3.0,49.57,1487.6,0.872,37.84
90.27,2.92,12.2,1860.3,0.479,72.79
163.49,4.19,14.37,3139.7,0.879,26.54
93.8,11.72,60.63,3361.6,0.351,70.47
130.56,5.49,67.51,2841.9,0.254,40.17
87.17,7.44,63.25,1451.6,0.496,63.24
169.24,8.9,65.28,2455.2,0.604,27.57
151.53,9.29,17.85,2574.3,0.402,23.47
81.63,8.72,62.01,1876.5,0.361,68.84
173.34,5.04,23.63,3579.1,0.246,20.0
96.43,2.67,17.35,2005.5,0.298,74.33
134.74,4.46,66.79,1704.6,0.656,42.54
146.57,3.71,76.71,1464.3,0.383,41.23
52.98,2.93,63.75,2108.4,0.122,87.95
174.67,1.76,70.42,2862.3,0.174,49.21
94.78,11.33,84.33,1755.4,0.385,71.41
74.67,11.17,20.11,3046.9,0.882,68.49
160.59,2.03,82.39,1525.0,0.391,48.78
141.38,3.32,55.09,2257.1,0.105,45.2
61.28,2.96,70.99,2885.7,0.426,97.53
65.22,4.45,58.76,1524.7,0.652,79.56
142.97,3.64,52.75,2634.8,0.584,46.47
59.72,11.43,62.77,3117.5,0.301,84.34
169.23,2.38,34.02,2629.3,0.669,37.62
146.4,3.72,79.32,2427.5,0.618,45.12
93.61,2.35,18.65,3211.9,0.205,68.62
97.18,11.79,33.85,3565.0,0.196,58.74
115.84,11.14,12.34,1635.2,0.542,42.94
96.93,9.02,30.35,2859.2,0.643,51.28
151.85,5.97,26.37,1393.6,0.916,20.0
176.72,3.5,13.72,1302.8,0.43,30.02
125.99,3.83,46.88,1874.0,0.738,46.79
107.98,6.15,45.15,3530.2,0.155,39.2
78.96,9.57,15.83,2525.3,0.851,62.8
134.95,4.28,29.64,1843.9,0.62,44.79
139.12,4.76,81.5,1518.2,0.616,38.72
139.07,7.8,18.31,3408.4,0.178,20.0
53.51,4.0,32.88,2069.7,0.086,77.59
166.89,7.63,12.69,1936.1,0.681,20.0
93.95,5.56,21.17,3259.1,0.155,48.99
146.74,1.86,62.45,2650.6,0.164,47.5
148.77,5.73,37.5,1604.7,0.219,20.0
134.57,11.16,43.91,2211.6,0.138,35.88
101.33,4.58,21.77,3427.8,0.613,52.84
129.09,4.89,61.16,3362.9,0.43,43.68
55.23,2.19,66.36,1368.3,0.289,91.63
149.05,7.96,23.58,1844.7,0.447,20.0
62.95,10.42,13.37,1570.9,0.81,70.63
101.58,5.21,16.07,2481.1,0.884,49.97
63.47,4.02,59.28,3000.0,0.489,86.96
158.82,11.54,20.16,1909.3,0.56,31.05
121.54,9.32,47.04,3019.2,0.281,36.64
139.82,7.46,21.45,2804.9,0.512,22.27
138.74,4.71,22.76,2947.7,0.723,30.32
159.41,3.82,10.33,3475.8,0.493,24.53
67.23,9.02,34.06,2219.1,0.322,70.38
135.76,6.98,16.73,2022.2,0.574,25.76
124.77,6.97,39.55,2841.2,0.902,24.55
54.02,2.27,54.83,3138.1,0.849,93.78
76.18,6.88,37.56,1659.5,0.742,61.32
84.78,10.14,62.88,3232.3,0.299,68.69
59.43,11.44,65.61,1338.8,0.267,80.12
96.11,2.62,62.25,1215.3,0.805,72.14
53.54,8.13,80.25,1580.2,0.213,76.08
121.91,7.47,27.8,3548.8,0.595,28.83
77.5,10.85,24.21,2456.6,0.445,74.93
87.31,9.39,55.73,1311.8,0.471,60.38
168.36,11.64,54.62,3593.2,0.459,30.11
115.37,11.58,48.26,2987.8,0.86,51.52
84.97,3.87,10.33,3211.2,0.128,60.67
127.8,9.12,51.64,1711.1,0.755,26.45
76.22,7.07,79.96,1453.1,0.802,65.6
59.67,3.75,35.09,2436.2,0.899,83.13
52.72,3.55,82.57,3053.2,0.457,97.6
173.7,2.35,36.76,2730.7,0.5,38.92
144.2,9.85,20.49,2714.5,0.915,22.96
153.99,4.91,39.88,3017.0,0.463,27.53
177.52,10.5,47.1,1744.8,0.503,25.44
171.11,7.89,57.21,2787.6,0.349,25.54
145.8,8.57,47.87,2141.1,0.078,20.0
140.22,4.56,50.25,1367.4,0.44,40.86
93.79,6.3,11.81,1685.1,0.64,48.98
63.52,5.83,29.02,3105.6,0.671,68.16
124.58,3.97,33.3,3350.2,0.056,35.85
124.91,10.24,84.03,1878.8,0.771,47.09
173.79,8.03,32.17,1656.9,0.493,20.0
107.53,1.89,77.24,1264.1,0.519,69.79
139.8,10.11,32.86,3474.5,0.916,21.63
124.75,2.61,17.21,2841.3,0.306,50.09
72.98,5.74,28.57,3496.9,0.735,60.2
126.97,7.5,30.46,3273.2,0.567,24.61
120.22,1.58,83.37,2017.1,0.681,74.79
114.21,8.36,60.57,1470.4,0.426,43.12
116.74,8.43,79.88,2397.7,0.301,46.41
71.32,8.35,72.62,1264.4,0.542,70.09
110.25,3.22,53.39,1559.8,0.387,64.59
128.73,4.19,60.65,1760.2,0.251,48.56
113.63,4.1,56.86,2797.6,0.805,60.75
113.53,11.58,59.97,2423.7,0.478,61.27
60.08,2.21,29.86,1925.8,0.813,93.5
74.8,6.0,40.61,2555.4,0.477,74.08
91.73,10.65,54.45,1500.5,0.551,67.1
104.52,9.58,12.69,3013.7,0.946,35.27
127.21,10.14,46.21,2908.9,0.906,34.76
162.23,11.71,74.48,1719.6,0.295,39.07
70.69,5.57,46.93,2655.3,0.832,72.17
51.96,4.75,51.42,2407.9,0.401,82.27
108.4,1.82,25.14,1346.0,0.114,61.42
106.17,3.08,69.58,1867.6,0.568,74.51
121.75,7.4,36.92,3598.8,0.929,20.0
158.32,3.16,81.74,1438.9,0.927,42.15
154.31,9.23,84.53,2415.4,0.164,25.69
63.01,1.89,78.7,3238.4,0.744,97.18
171.42,4.22,16.37,1921.6,0.773,23.83
64.35,8.8,34.99,1825.7,0.382,65.8
132.49,4.18,80.89,3337.9,0.643,49.84
137.41,9.15,70.34,1931.6,0.489,35.09
138.38,11.96,78.34,2763.6,0.255,50.32
84.5,9.87,52.94,2976.8,0.735,67.59
92.94,5.09,46.03,3092.7,0.286,58.1
121.33,10.96,17.99,3587.4,0.356,34.19
75.95,2.04,72.96,3127.7,0.221,94.92
52.64,9.11,65.89,2776.8,0.697,77.25
123.08,1.74,14.42,3349.1,0.463,48.78
110.49,3.33,25.71,3373.8,0.449,58.55
135.38,11.87,51.8,3535.6,0.594,41.62
69.07,5.29,61.33,3063.5,0.192,72.53
159.32,10.12,20.33,1667.8,0.858,20.0
69.01,5.45,28.36,2903.5,0.469,70.74
165.87,10.32,24.48,1380.3,0.38,20.0
108.44,11.64,26.5,1963.1,0.164,49.18
121.47,6.07,79.05,1477.9,0.201,41.07
166.56,7.37,63.69,3479.9,0.878,20.0
88.99,8.1,65.28,2013.0,0.461,65.28
73.64,11.32,69.55,2911.7,0.7,84.64
107.95,4.2,36.74,2571.2,0.122,54.67
81.77,7.92,67.54,1458.0,0.629,65.51
118.62,4.91,83.38,2547.2,0.879,52.47
85.78,3.78,62.38,2786.5,0.32,77.77
162.38,2.39,41.26,3315.6,0.571,39.49
128.95,8.02,63.73,1368.2,0.896,30.97
